Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
France,Coulommiers,51,Moderate,1,Good,21,Good,4,Good,51,Moderate
United States of America,Country Club,153,Unhealthy,4,Good,4,Good,20,Good,153,Unhealthy
Netherlands,Culemborg,35,Good,0,Good,33,Good,1,Good,35,Good
Guinea,Dabola,51,Moderate,1,Good,12,Good,0,Good,51,Moderate
Iran (Islamic Republic of),Bahar,78,Moderate,1,Good,56,Moderate,0,Good,78,Moderate
India,Baleshwar,160,Unhealthy,2,Good,59,Moderate,1,Good,160,Unhealthy
France,Balma,33,Good,1,Good,29,Good,3,Good,33,Good
Afghanistan,Baraki Barak,67,Moderate,0,Good,41,Good,0,Good,67,Moderate
India,Barpeta,53,Moderate,2,Good,35,Good,1,Good,53,Moderate
Israel,Bat Yam,75,Moderate,1,Good,48,Good,4,Good,75,Moderate
Germany,Baunatal,45,Good,1,Good,28,Good,3,Good,45,Good
Ghana,Bechem,60,Moderate,2,Good,15,Good,1,Good,60,Moderate
United States of America,Beckley,37,Good,1,Good,37,Good,1,Good,16,Good
Indonesia,Belawan,75,Moderate,2,Good,45,Good,0,Good,75,Moderate
United States of America,Bella Vista,88,Moderate,1,Good,23,Good,4,Good,88,Moderate
Canada,Belleville,45,Good,1,Good,19,Good,5,Good,45,Good
Russian Federation,Belomorsk,30,Good,1,Good,30,Good,0,Good,9,Good
Russian Federation,Beloyarsk,46,Good,1,Good,43,Good,1,Good,46,Good
Cameroon,Bertoua,71,Moderate,2,Good,16,Good,0,Good,71,Moderate
Namibia,Bethanien,113,Unhealthy for Sensitive Groups,0,Good,22,Good,0,Good,113,Unhealthy for Sensitive Groups
Nepal,Bharatpur,93,Moderate,3,Good,69,Moderate,0,Good,93,Moderate
India,Bhatapara,180,Unhealthy,1,Good,58,Moderate,1,Good,180,Unhealthy
Nigeria,Bida,101,Unhealthy for Sensitive Groups,3,Good,22,Good,1,Good,101,Unhealthy for Sensitive Groups
India,Bikaner,500,Hazardous,1,Good,36,Good,0,Good,500,Hazardous
United Kingdom of Great Britain and Northern Ireland,Billericay,53,Moderate,0,Good,35,Good,2,Good,53,Moderate
France,Bischheim,65,Moderate,1,Good,23,Good,4,Good,65,Moderate
Belgium,Boechout,40,Good,1,Good,29,Good,3,Good,40,Good
Brazil,Bom Jardim,52,Moderate,1,Good,13,Good,3,Good,52,Moderate
United States of America,Bonham,71,Moderate,1,Good,22,Good,3,Good,71,Moderate
Germany,Borken,38,Good,0,Good,32,Good,2,Good,38,Good
Burkina Faso,Boromo,26,Good,1,Good,12,Good,0,Good,26,Good
Iran (Islamic Republic of),Borujerd,67,Moderate,1,Good,49,Good,0,Good,67,Moderate
France,Boulogne Sur Mer,50,Good,1,Good,35,Good,1,Good,50,Good
Uzbekistan,Boysun,79,Moderate,1,Good,48,Good,0,Good,79,Moderate
Australia,Brisbane,31,Good,0,Good,30,Good,6,Good,31,Good
Russian Federation,Bronnitsy,33,Good,1,Good,29,Good,5,Good,33,Good
Germany,Brunsbuttel,34,Good,0,Good,34,Good,0,Good,29,Good
Romania,Bucharest,50,Good,1,Good,37,Good,4,Good,50,Good
Australia,Buderim,32,Good,0,Good,32,Good,1,Good,16,Good
Malaysia,Bukit Rambai,77,Moderate,2,Good,35,Good,0,Good,77,Moderate
United States of America,Burien,51,Moderate,2,Good,23,Good,13,Good,51,Moderate
Philippines,Cabagan,46,Good,1,Good,37,Good,0,Good,46,Good
Philippines,Cabinuangan,38,Good,1,Good,15,Good,0,Good,38,Good
Guatemala,Cabrican,84,Moderate,2,Good,8,Good,8,Good,84,Moderate
France,Cachan,61,Moderate,1,Good,18,Good,7,Good,61,Moderate
Italy,Cagliari,64,Moderate,1,Good,49,Good,1,Good,64,Moderate
France,Cagnes Sur Mer,59,Moderate,1,Good,41,Good,2,Good,59,Moderate
Philippines,Cagsiay,46,Good,1,Good,30,Good,0,Good,46,Good
Venezuela (Bolivarian Republic of),Cagua,102,Unhealthy for Sensitive Groups,2,Good,10,Good,13,Good,102,Unhealthy for Sensitive Groups
Philippines,Cainta,65,Moderate,1,Good,23,Good,1,Good,65,Moderate
Brazil,Caldas Novas,31,Good,1,Good,10,Good,1,Good,31,Good
Brazil,Camamu,17,Good,0,Good,14,Good,0,Good,17,Good
Portugal,Camarate,33,Good,0,Good,33,Good,3,Good,33,Good
,Campbellton,19,Good,1,Good,13,Good,2,Good,19,Good
Mexico,Campeche,54,Moderate,1,Good,23,Good,0,Good,54,Moderate
Mexico,Campo Gobierno,81,Moderate,1,Good,14,Good,3,Good,81,Moderate
Nigeria,Birnin Kebbi,61,Moderate,2,Good,13,Good,3,Good,61,Moderate
United States of America,Blackfoot,50,Good,2,Good,4,Good,6,Good,50,Good
United States of America,Bloomington,64,Moderate,2,Good,15,Good,13,Good,64,Moderate
Brazil,Bocaiuva,35,Good,1,Good,4,Good,3,Good,35,Good
India,Bodri,174,Unhealthy,1,Good,38,Good,0,Good,174,Unhealthy
Russian Federation,Bogorodsk,51,Moderate,1,Good,31,Good,3,Good,51,Moderate
India,Boisar,135,Unhealthy for Sensitive Groups,0,Good,23,Good,0,Good,135,Unhealthy for Sensitive Groups
Spain,Bolanos De Calatrava,43,Good,1,Good,15,Good,4,Good,43,Good
United States of America,Bonney Lake,57,Moderate,2,Good,24,Good,12,Good,57,Moderate
Germany,Boppard,31,Good,0,Good,27,Good,2,Good,31,Good
Sweden,Boras,37,Good,1,Good,37,Good,1,Good,27,Good
Italy,Borgomanero,69,Moderate,1,Good,22,Good,5,Good,69,Moderate
United States of America,Bothell,58,Moderate,2,Good,22,Good,13,Good,58,Moderate
Côte d'Ivoire,Bouna,32,Good,1,Good,10,Good,0,Good,32,Good
India,Brajrajnagar,162,Unhealthy,1,Good,48,Good,0,Good,162,Unhealthy
France,Bras Panon,41,Good,1,Good,27,Good,0,Good,41,Good
Brazil,Brasilia De Minas,22,Good,0,Good,12,Good,1,Good,22,Good
Germany,Bremervorde,31,Good,0,Good,29,Good,1,Good,31,Good
Uganda,Bugembe,156,Unhealthy,7,Good,14,Good,4,Good,156,Unhealthy
Brazil,Buique,26,Good,0,Good,16,Good,0,Good,26,Good
United States of America,Bullhead City,29,Good,1,Good,29,Good,3,Good,21,Good
United Republic of Tanzania,Bunda,31,Good,1,Good,12,Good,0,Good,31,Good
India,Bundi,168,Unhealthy,1,Good,36,Good,0,Good,168,Unhealthy
Romania,Calarasi,38,Good,1,Good,38,Good,1,Good,30,Good
Germany,Calw,39,Good,1,Good,25,Good,3,Good,39,Good
Brazil,Caninde De Sao Francisco,28,Good,0,Good,15,Good,1,Good,28,Good
United Kingdom of Great Britain and Northern Ireland,Canterbury,29,Good,0,Good,29,Good,3,Good,25,Good
Brazil,Carmo Do Rio Claro,50,Good,1,Good,2,Good,3,Good,50,Good
Brazil,Carmo,62,Moderate,1,Good,10,Good,4,Good,62,Moderate
Spain,Cartagena,50,Good,1,Good,29,Good,3,Good,50,Good
Brazil,Castilho,35,Good,1,Good,11,Good,0,Good,35,Good
Netherlands,Castricum,37,Good,0,Good,37,Good,0,Good,30,Good
France,Cavaillon,46,Good,1,Good,29,Good,2,Good,46,Good
Brazil,Caxambu,49,Good,1,Good,11,Good,3,Good,49,Good
Brazil,Caxias Do Sul,17,Good,1,Good,15,Good,1,Good,17,Good
Czechia,Celakovice,54,Moderate,1,Good,21,Good,5,Good,54,Moderate
Mexico,Cerritos,31,Good,1,Good,23,Good,1,Good,31,Good
India,Challakere,60,Moderate,0,Good,24,Good,0,Good,60,Moderate
Peru,Chancay,114,Unhealthy for Sensitive Groups,3,Good,15,Good,7,Good,114,Unhealthy for Sensitive Groups
United States of America,Chandler,56,Moderate,1,Good,10,Good,21,Good,56,Moderate
Nigeria,Aba,196,Unhealthy,13,Good,6,Good,13,Good,196,Unhealthy
Bangladesh,Abhaynagar,187,Unhealthy,2,Good,47,Good,3,Good,187,Unhealthy
Hungary,Abony,63,Moderate,1,Good,31,Good,1,Good,63,Moderate
Mexico,Acambaro,30,Good,1,Good,11,Good,2,Good,30,Good
Ghana,Accra,76,Moderate,1,Good,20,Good,1,Good,76,Moderate
Côte d'Ivoire,Agboville,114,Unhealthy for Sensitive Groups,3,Good,11,Good,3,Good,114,Unhealthy for Sensitive Groups
Panama,Aguadulce,64,Moderate,2,Good,15,Good,6,Good,64,Moderate
Spain,Aguilar De La Frontera,43,Good,1,Good,7,Good,6,Good,43,Good
Germany,Aldenhoven,35,Good,1,Good,23,Good,4,Good,35,Good
Spain,Alhaurin De La Torre,31,Good,1,Good,21,Good,5,Good,31,Good
United States of America,Allentown,55,Moderate,1,Good,27,Good,9,Good,55,Moderate
United States of America,Alliance,43,Good,1,Good,40,Good,3,Good,43,Good
,Almada,44,Good,1,Good,38,Good,2,Good,44,Good
Russian Federation,Almetyevsk,32,Good,1,Good,32,Good,1,Good,10,Good
United States of America,Alsip,74,Moderate,2,Good,15,Good,18,Good,74,Moderate
Madagascar,Ambanja,20,Good,0,Good,16,Good,0,Good,20,Good
United States of America,Ankeny,39,Good,1,Good,35,Good,3,Good,39,Good
,Antibes,56,Moderate,2,Good,19,Good,8,Good,56,Moderate
,Antonina,31,Good,1,Good,11,Good,2,Good,31,Good
India,Aonla,500,Hazardous,4,Good,149,Unhealthy for Sensitive Groups,4,Good,479,Hazardous
India,Ara,209,Very Unhealthy,2,Good,103,Unhealthy for Sensitive Groups,1,Good,209,Very Unhealthy
Brazil,Arcoverde,28,Good,0,Good,18,Good,0,Good,28,Good
Italy,Ardea,49,Good,1,Good,49,Good,0,Good,25,Good
United States of America,Arkansas City,57,Moderate,1,Good,30,Good,3,Good,57,Moderate
Trinidad and Tobago,Arouca,81,Moderate,1,Good,21,Good,4,Good,81,Moderate
Ukraine,Artsyz,39,Good,1,Good,39,Good,0,Good,36,Good
India,Ashta,152,Unhealthy,1,Good,37,Good,0,Good,152,Unhealthy
United States of America,Aspen Hill,54,Moderate,1,Good,30,Good,6,Good,54,Moderate
Greece,Aspropirgos,62,Moderate,1,Good,41,Good,7,Good,62,Moderate
Netherlands,Assen,36,Good,0,Good,33,Good,1,Good,36,Good
Guatemala,Asuncion Mita,73,Moderate,2,Good,13,Good,7,Good,73,Moderate
Ireland,Athlone,27,Good,1,Good,27,Good,1,Good,16,Good
United States of America,Atwater,44,Good,1,Good,44,Good,4,Good,38,Good
Poland,Augustow,37,Good,1,Good,37,Good,0,Good,14,Good
India,Auraiya,249,Very Unhealthy,1,Good,47,Good,0,Good,249,Very Unhealthy
United States of America,Aventura,52,Moderate,1,Good,14,Good,12,Good,52,Moderate
Afghanistan,Aybak,74,Moderate,1,Good,41,Good,0,Good,74,Moderate
India,Ayyampettai,59,Moderate,1,Good,31,Good,0,Good,59,Moderate
United States of America,Azle,55,Moderate,1,Good,18,Good,5,Good,55,Moderate
Germany,Bad Zwischenahn,33,Good,0,Good,33,Good,1,Good,26,Good
Azerbaijan,Badamdar,44,Good,1,Good,36,Good,0,Good,44,Good
Austria,Baden,58,Moderate,1,Good,31,Good,2,Good,58,Moderate
Italy,Bagnolo Mella,67,Moderate,1,Good,37,Good,3,Good,67,Moderate
Russian Federation,Bakal,35,Good,1,Good,35,Good,0,Good,28,Good
Russian Federation,Balabanovo,37,Good,1,Good,37,Good,0,Good,20,Good
Thailand,Ban Mo,50,Good,0,Good,28,Good,0,Good,50,Good
Libya,Bani Walid,121,Unhealthy for Sensitive Groups,1,Good,49,Good,1,Good,121,Unhealthy for Sensitive Groups
Philippines,Bani,52,Moderate,0,Good,26,Good,0,Good,52,Moderate
Bangladesh,Baniachang,109,Unhealthy for Sensitive Groups,3,Good,66,Moderate,2,Good,109,Unhealthy for Sensitive Groups
China,Baoning,153,Unhealthy,4,Good,146,Unhealthy for Sensitive Groups,3,Good,153,Unhealthy
India,Bari,195,Unhealthy,1,Good,45,Good,0,Good,195,Unhealthy
India,Basudebpur,166,Unhealthy,1,Good,73,Moderate,1,Good,166,Unhealthy
Canada,Bay Roberts,25,Good,1,Good,25,Good,0,Good,15,Good
Switzerland,Aarau,103,Unhealthy for Sensitive Groups,1,Good,27,Good,2,Good,103,Unhealthy for Sensitive Groups
Côte d'Ivoire,Abengourou,64,Moderate,2,Good,18,Good,0,Good,64,Moderate
China,Acheng,92,Moderate,2,Good,54,Moderate,3,Good,92,Moderate
Côte d'Ivoire,Adzope,75,Moderate,3,Good,15,Good,1,Good,75,Moderate
Niger,Aguie,69,Moderate,2,Good,25,Good,2,Good,69,Moderate
Mexico,Ajijic,48,Good,1,Good,11,Good,3,Good,48,Good
India,Akbarpur,224,Very Unhealthy,2,Good,85,Moderate,1,Good,224,Very Unhealthy
Russian Federation,Aksay,38,Good,1,Good,38,Good,2,Good,15,Good
India,Alapur,167,Unhealthy,3,Good,164,Unhealthy,3,Good,167,Unhealthy
Spain,Alboraya,30,Good,1,Good,30,Good,2,Good,26,Good
China,Alihe,42,Good,1,Good,32,Good,0,Good,42,Good
Spain,Almunecar,30,Good,1,Good,22,Good,3,Good,30,Good
Germany,Altenstadt,51,Moderate,1,Good,26,Good,3,Good,51,Moderate
India,Amalapuram,121,Unhealthy for Sensitive Groups,1,Good,22,Good,3,Good,121,Unhealthy for Sensitive Groups
India,Amanganj,199,Unhealthy,1,Good,43,Good,0,Good,199,Unhealthy
India,Ambur,60,Moderate,0,Good,26,Good,0,Good,60,Moderate
United States of America,Amesbury,29,Good,1,Good,29,Good,5,Good,27,Good
India,Anantnag,99,Moderate,1,Good,47,Good,0,Good,99,Moderate
Uzbekistan,Andijon,118,Unhealthy for Sensitive Groups,1,Good,95,Moderate,1,Good,118,Unhealthy for Sensitive Groups
Andorra,Andorra La Vella,27,Good,1,Good,27,Good,0,Good,20,Good
Italy,Andria,39,Good,2,Good,36,Good,6,Good,39,Good
China,Angangxi,79,Moderate,2,Good,60,Moderate,1,Good,79,Moderate
Germany,Anrochte,48,Good,0,Good,31,Good,2,Good,48,Good
Madagascar,Antananarivo,28,Good,1,Good,22,Good,0,Good,28,Good
El Salvador,Antiguo Cuscatlan,103,Unhealthy for Sensitive Groups,2,Good,22,Good,9,Good,103,Unhealthy for Sensitive Groups
Philippines,Anuling,59,Moderate,1,Good,13,Good,0,Good,59,Moderate
Serbia,Apatin,69,Moderate,1,Good,39,Good,1,Good,69,Moderate
El Salvador,Apopa,115,Unhealthy for Sensitive Groups,3,Good,14,Good,12,Good,115,Unhealthy for Sensitive Groups
Brazil,Aquidauana,16,Good,1,Good,12,Good,0,Good,16,Good
France,Arles,60,Moderate,1,Good,31,Good,3,Good,60,Moderate
India,Atmakur,57,Moderate,0,Good,29,Good,0,Good,57,Moderate
Italy,Atripalda,43,Good,2,Good,43,Good,4,Good,41,Good
United States of America,Auburn,57,Moderate,2,Good,12,Good,7,Good,57,Moderate
France,Avignon,66,Moderate,1,Good,31,Good,3,Good,66,Moderate
United States of America,Avocado Heights,120,Unhealthy for Sensitive Groups,4,Good,12,Good,35,Good,120,Unhealthy for Sensitive Groups
Italy,Avola,39,Good,1,Good,29,Good,3,Good,39,Good
Peru,Ayaviri,25,Good,0,Good,3,Good,2,Good,25,Good
Malaysia,Ayer Tawar,88,Moderate,2,Good,66,Moderate,1,Good,88,Moderate
Germany,Bad Rappenau,50,Good,1,Good,28,Good,3,Good,50,Good
India,Bagula,159,Unhealthy,5,Good,95,Moderate,4,Good,159,Unhealthy
United Kingdom of Great Britain and Northern Ireland,Sheffield,31,Good,0,Good,30,Good,3,Good,31,Good
Japan,Shobara,44,Good,1,Good,44,Good,0,Good,33,Good
,Si Racha,38,Good,0,Good,20,Good,0,Good,38,Good
Philippines,Sibulan,90,Moderate,1,Good,15,Good,0,Good,90,Moderate
Switzerland,Sierre,53,Moderate,1,Good,34,Good,0,Good,53,Moderate
India,Sihor,152,Unhealthy,0,Good,31,Good,0,Good,152,Unhealthy
India,Sikandra,242,Very Unhealthy,1,Good,73,Moderate,1,Good,242,Very Unhealthy
Indonesia,Singojuruh,39,Good,1,Good,25,Good,0,Good,39,Good
United States of America,Sioux City,53,Moderate,1,Good,18,Good,9,Good,53,Moderate
India,Sivakasi,53,Moderate,0,Good,27,Good,0,Good,53,Moderate
Russian Federation,Skalistyy,29,Good,1,Good,29,Good,0,Good,8,Good
Poland,Slupca,39,Good,0,Good,31,Good,1,Good,39,Good
Slovakia,Snina,68,Moderate,1,Good,39,Good,0,Good,68,Moderate
Italy,Solaro,54,Moderate,1,Good,36,Good,2,Good,54,Moderate
Russian Federation,Bryukhovetskaya,40,Good,1,Good,40,Good,1,Good,38,Good
Brazil,Buerarema,43,Good,1,Good,7,Good,3,Good,43,Good
Brazil,Cacequi,24,Good,0,Good,24,Good,0,Good,9,Good
France,Calais,31,Good,0,Good,31,Good,1,Good,28,Good
Italy,Campodarsego,75,Moderate,2,Good,19,Good,9,Good,75,Moderate
India,Behat,176,Unhealthy,3,Good,176,Unhealthy,1,Good,107,Unhealthy for Sensitive Groups
India,Bela,305,Hazardous,1,Good,48,Good,1,Good,280,Very Unhealthy
Russian Federation,Belaya Glina,41,Good,1,Good,41,Good,0,Good,24,Good
Russian Federation,Belebey,29,Good,1,Good,29,Good,0,Good,19,Good
Serbia,Belgrade,101,Unhealthy for Sensitive Groups,1,Good,36,Good,4,Good,101,Unhealthy for Sensitive Groups
United States of America,Beltsville,54,Moderate,1,Good,32,Good,5,Good,54,Moderate
United States of America,Benbrook,51,Moderate,1,Good,19,Good,4,Good,51,Moderate
Czechia,Benesov,57,Moderate,1,Good,23,Good,5,Good,57,Moderate
Mexico,Benito Juarez,109,Unhealthy for Sensitive Groups,4,Good,6,Good,9,Good,109,Unhealthy for Sensitive Groups
Bulgaria,Berkovica,78,Moderate,1,Good,36,Good,2,Good,78,Moderate
El Salvador,Berlin,69,Moderate,2,Good,8,Good,15,Good,69,Moderate
Germany,Bielefeld,32,Good,0,Good,28,Good,1,Good,32,Good
India,Bilaua,190,Unhealthy,1,Good,38,Good,0,Good,190,Unhealthy
Philippines,Binangonan,52,Moderate,1,Good,25,Good,1,Good,52,Moderate
,Preveza,54,Moderate,2,Good,40,Good,0,Good,54,Moderate
Czechia,Pribram,53,Moderate,1,Good,32,Good,3,Good,53,Moderate
Lithuania,Prienai,35,Good,0,Good,34,Good,0,Good,35,Good
Tajikistan,Proletarsk,135,Unhealthy for Sensitive Groups,1,Good,48,Good,0,Good,135,Unhealthy for Sensitive Groups
Brazil,Propria,29,Good,0,Good,14,Good,2,Good,29,Good
United States of America,Providence,34,Good,1,Good,24,Good,7,Good,34,Good
Spain,Puerto De La Cruz,36,Good,1,Good,36,Good,0,Good,6,Good
Peru,Querecotillo,50,Good,0,Good,20,Good,0,Good,50,Good
China,Qufu,200,Unhealthy,5,Good,200,Unhealthy,6,Good,151,Unhealthy
Italy,Racalmuto,53,Moderate,1,Good,34,Good,4,Good,53,Moderate
Viet Nam,Rach Gia,57,Moderate,1,Good,31,Good,1,Good,57,Moderate
Tunisia,Radis,63,Moderate,1,Good,55,Moderate,2,Good,63,Moderate
Czechia,Rakovnik,60,Moderate,1,Good,33,Good,4,Good,60,Moderate
India,Ramachandrapuram,140,Unhealthy for Sensitive Groups,1,Good,22,Good,3,Good,140,Unhealthy for Sensitive Groups
Philippines,Ramos,141,Unhealthy for Sensitive Groups,1,Good,32,Good,1,Good,141,Unhealthy for Sensitive Groups
United States of America,Rancho Mirage,46,Good,1,Good,36,Good,3,Good,46,Good
India,Ratanpur,188,Unhealthy,1,Good,64,Moderate,2,Good,188,Unhealthy
Brazil,Registro,53,Moderate,1,Good,9,Good,2,Good,53,Moderate
United States of America,Rialto,82,Moderate,3,Good,10,Good,22,Good,82,Moderate
United States of America,Ridgefield Park,74,Moderate,2,Good,15,Good,21,Good,74,Moderate
Netherlands,Rijswijk,35,Good,0,Good,35,Good,2,Good,31,Good
Brazil,Rio Grande Da Serra,153,Unhealthy,4,Good,2,Good,19,Good,153,Unhealthy
United States of America,Rohnert Park,30,Good,1,Good,26,Good,5,Good,30,Good
Italy,Rosignano Marittimo,40,Good,1,Good,40,Good,2,Good,18,Good
France,Rueil Malmaison,63,Moderate,1,Good,18,Good,7,Good,63,Moderate
Russian Federation,Ruza,30,Good,1,Good,30,Good,0,Good,13,Good
Georgia,Sagarejo,36,Good,1,Good,34,Good,0,Good,36,Good
,Saint Simons,41,Good,1,Good,29,Good,1,Good,41,Good
France,Saint Pol Sur Mer,44,Good,1,Good,33,Good,1,Good,44,Good
Thailand,Sakhon Nakhon,50,Good,0,Good,29,Good,0,Good,50,Good
Jordan,Sakib,77,Moderate,1,Good,49,Good,3,Good,77,Moderate
Japan,Saku,42,Good,1,Good,42,Good,0,Good,15,Good
United States of America,Salem,29,Good,1,Good,27,Good,6,Good,29,Good
Brazil,Salto De Pirapora,77,Moderate,2,Good,8,Good,6,Good,77,Moderate
Zambia,Samfya,40,Good,0,Good,19,Good,0,Good,40,Good
India,Samrala,151,Unhealthy,2,Good,151,Unhealthy,1,Good,137,Unhealthy for Sensitive Groups
Mexico,San Antonio La Isla,131,Unhealthy for Sensitive Groups,3,Good,9,Good,12,Good,131,Unhealthy for Sensitive Groups
United States of America,San Carlos,70,Moderate,1,Good,13,Good,18,Good,70,Moderate
Italy,San Ferdinando Di Puglia,40,Good,2,Good,37,Good,6,Good,40,Good
Colombia,San Juan Del Cesar,52,Moderate,1,Good,10,Good,1,Good,52,Moderate
India,Sangareddi,78,Moderate,1,Good,28,Good,0,Good,78,Moderate
Brazil,Santa Cruz Das Palmeiras,56,Moderate,1,Good,8,Good,3,Good,56,Moderate
Colombia,Santa Rosa De Cabal,85,Moderate,2,Good,3,Good,8,Good,85,Moderate
Brazil,Sao Bento Do Sul,40,Good,1,Good,16,Good,1,Good,40,Good
Brazil,Sao Caitano,35,Good,0,Good,14,Good,2,Good,35,Good
Brazil,Sao Luis Do Quitunde,25,Good,0,Good,20,Good,1,Good,25,Good
Brazil,Sao Mateus,26,Good,0,Good,19,Good,0,Good,26,Good
Russian Federation,Sarapul,46,Good,1,Good,24,Good,2,Good,46,Good
Ukraine,Sarny,92,Moderate,1,Good,36,Good,0,Good,92,Moderate
Romania,Sascut,56,Moderate,1,Good,37,Good,0,Good,56,Moderate
Japan,Sasebo,46,Good,1,Good,46,Good,0,Good,35,Good
Italy,Sava,49,Good,1,Good,49,Good,3,Good,28,Good
Netherlands,Schinnen,42,Good,1,Good,25,Good,4,Good,42,Good
Germany,Schortens,36,Good,0,Good,36,Good,0,Good,33,Good
Italy,Scicli,51,Moderate,1,Good,24,Good,5,Good,51,Moderate
Belgium,Seneffe,50,Good,1,Good,23,Good,5,Good,50,Good
,Sestri Levante,46,Good,1,Good,46,Good,2,Good,38,Good
Pakistan,Shabqadar,73,Moderate,1,Good,58,Moderate,0,Good,73,Moderate
China,Shahe,202,Very Unhealthy,8,Good,202,Very Unhealthy,12,Good,180,Unhealthy
India,Shahgarh,188,Unhealthy,1,Good,40,Good,0,Good,188,Unhealthy
India,Shahkot,149,Unhealthy for Sensitive Groups,2,Good,137,Unhealthy for Sensitive Groups,1,Good,149,Unhealthy for Sensitive Groups
Iran (Islamic Republic of),Shahreza,113,Unhealthy for Sensitive Groups,1,Good,48,Good,0,Good,113,Unhealthy for Sensitive Groups
China,Shangzhi,54,Moderate,1,Good,44,Good,0,Good,54,Moderate
United Kingdom of Great Britain and Northern Ireland,Morley,25,Good,1,Good,25,Good,3,Good,25,Good
Russian Federation,Mostovskoy,42,Good,1,Good,42,Good,0,Good,37,Good
United States of America,Mount Holly,50,Good,1,Good,31,Good,7,Good,50,Good
United States of America,Mountain View,63,Moderate,1,Good,30,Good,11,Good,63,Moderate
Zambia,Mpika,33,Good,0,Good,18,Good,0,Good,33,Good
United Republic of Tanzania,Mto Wa Mbu,24,Good,0,Good,11,Good,0,Good,24,Good
Turkey,Mugla,48,Good,1,Good,48,Good,2,Good,41,Good
Kenya,Muhoroni,150,Unhealthy,5,Good,13,Good,4,Good,150,Unhealthy
Germany,Munich,45,Good,1,Good,25,Good,3,Good,45,Good
Russian Federation,Muravlenko,57,Moderate,1,Good,24,Good,0,Good,57,Moderate
United Republic of Tanzania,Mwanza,24,Good,0,Good,14,Good,0,Good,24,Good
Thailand,Nakhon Thai,69,Moderate,0,Good,23,Good,0,Good,69,Moderate
Poland,Namyslow,39,Good,1,Good,22,Good,3,Good,39,Good
China,Nanzhang,120,Unhealthy for Sensitive Groups,2,Good,120,Unhealthy for Sensitive Groups,1,Good,78,Moderate
India,Naraini,185,Unhealthy,1,Good,42,Good,0,Good,185,Unhealthy
Japan,Narashino,81,Moderate,1,Good,81,Moderate,1,Good,37,Good
Kenya,Narok,21,Good,0,Good,18,Good,0,Good,21,Good
India,Nasrullaganj,150,Unhealthy,1,Good,32,Good,0,Good,150,Unhealthy
Philippines,Naval,60,Moderate,1,Good,28,Good,0,Good,60,Moderate
India,Nawalgarh,500,Hazardous,1,Good,33,Good,0,Good,412,Hazardous
Ethiopia,Nedjo,85,Moderate,1,Good,19,Good,0,Good,85,Moderate
India,Nedumangad,60,Moderate,1,Good,27,Good,0,Good,60,Moderate
Russian Federation,Neftekumsk,36,Good,1,Good,36,Good,0,Good,24,Good
France,Nemours,30,Good,1,Good,26,Good,2,Good,30,Good
Spain,Nerja,39,Good,1,Good,18,Good,4,Good,39,Good
Ukraine,Netishyn,60,Moderate,1,Good,24,Good,1,Good,60,Moderate
Philippines,New Corella,61,Moderate,1,Good,19,Good,0,Good,61,Moderate
United States of America,New Rochelle,64,Moderate,1,Good,26,Good,13,Good,64,Moderate
Malaysia,Nilai,67,Moderate,1,Good,39,Good,1,Good,67,Moderate
,North Myrtle Beach,50,Good,1,Good,39,Good,4,Good,50,Good
Brazil,Nossa Senhora Do Socorro,30,Good,0,Good,18,Good,1,Good,30,Good
Brazil,Nova Londrina,14,Good,1,Good,9,Good,0,Good,14,Good
Russian Federation,Novoorsk,41,Good,1,Good,41,Good,0,Good,16,Good
Russian Federation,Novopokrovskaya,39,Good,1,Good,39,Good,0,Good,27,Good
India,Nuh,500,Hazardous,1,Good,44,Good,1,Good,420,Hazardous
Turkey,Nusaybin,88,Moderate,1,Good,34,Good,3,Good,88,Moderate
United Republic of Tanzania,Nyakabindi,20,Good,0,Good,13,Good,0,Good,20,Good
Sweden,Nykoping,34,Good,1,Good,34,Good,0,Good,9,Good
United States of America,Oakland Park,48,Good,1,Good,15,Good,10,Good,48,Good
Germany,Obertshausen,29,Good,0,Good,29,Good,2,Good,27,Good
Republic of Moldova,Ocnita,64,Moderate,1,Good,41,Good,0,Good,64,Moderate
United States of America,Old Bridge,54,Moderate,1,Good,28,Good,9,Good,54,Moderate
India,Mariani,70,Moderate,2,Good,18,Good,4,Good,70,Moderate
Italy,Marino,47,Good,1,Good,43,Good,4,Good,47,Good
France,Marmande,38,Good,1,Good,29,Good,1,Good,38,Good
Madagascar,Marolambo,22,Good,0,Good,22,Good,0,Good,13,Good
Germany,Marpingen,29,Good,0,Good,29,Good,1,Good,22,Good
Spain,Martorell,36,Good,1,Good,25,Good,4,Good,36,Good
Japan,Matsubara,47,Good,1,Good,47,Good,0,Good,22,Good
United States of America,Mays Chapel,52,Moderate,1,Good,34,Good,4,Good,52,Moderate
Democratic Republic of the Congo,Mbandaka,99,Moderate,3,Good,11,Good,0,Good,99,Moderate
Germany,Melle,30,Good,0,Good,30,Good,1,Good,26,Good
,Meulaboh,55,Moderate,1,Good,18,Good,0,Good,55,Moderate
United States of America,Miami,55,Moderate,1,Good,14,Good,11,Good,55,Moderate
Philippines,Minglanilla,65,Moderate,1,Good,22,Good,0,Good,65,Moderate
