item_code,item,unit,item_group,item_category
1236,TELUR REBUS,sebiji,MAKANAN SIAP MASAK,LAUK
1237,TELUR MASIN,sebiji,MAKANAN SIAP MASAK,LAUK
1238,SUP AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK
1239,SUP DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK
1240,SUP EKOR,semangkuk,MAKANAN SIAP MASAK,LAUK
1241,SUP CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK
1242,TOM YAM CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK
1243,TOM YAM AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK
1244,TOM YAM DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK
1245,TOM YAM UDANG,semangkuk,MAKANAN SIAP MASAK,LAUK
1246,TOM YAM SOTONG,semangkuk,MAKANAN SIAP MASAK,LAUK
1247,MAGGI GORENG,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN
1248,MAGGI SUP,semangkuk,MAKANAN SIAP MASAK,LAIN-LAIN
1250,ROTI TELUR,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN
1252,KUIH LAPIS,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN
1253,KUIH SERI MUKA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN
1254,PAU KACANG MERAH,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN
1255,PAU AYAM,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN
1256,PAU KAYA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN
1264,AYAM SOS LEMON,sepiring,MAKANAN SIAP MASAK,LAUK
1265,SOTONG GORENG ASAM,sepiring,MAKANAN SIAP MASAK,LAUK
1266,UDANG BUTTER,sepiring,MAKANAN SIAP MASAK,LAUK
1277,SUP IKAN,semangkuk,MAKANAN SIAP MASAK,LAUK
1278,SUP SAYUR MASIN,semangkuk,MAKANAN SIAP MASAK,LAUK
1279,PAU DAGING,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN
1281,NASI BRIYANI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI
1282,NASI BRIYANI KAMBING,sepinggan,MAKANAN SIAP MASAK,NASI
1284,NASI BRIYANI BUKHARA,sepinggan,MAKANAN SIAP MASAK,NASI
1285,AYAM MASAK KARI,seketul,MAKANAN SIAP MASAK,LAUK
1289,SUP TULANG,semangkuk,MAKANAN SIAP MASAK,LAUK
1290,SUP KAMBING,semangkuk,MAKANAN SIAP MASAK,LAUK
1291,ROTI PISANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN
1292,ROTI BAWANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN
1293,ROTI BOOM,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN
1294,RAWA TOSAI,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN
1295,ROTI TISU,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN
1296,CAPATI,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN
1297,Ayam Tandoori,seketul,MAKANAN SIAP MASAK,LAUK
1298,ROTI BAKAR,1 set,MAKANAN SIAP MASAK,LAIN-LAIN
1299,MURTABAK AYAM,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN
1300,MURTABAK DAGING,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN
1301,MURTABAK KAMBING,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN
1307,AIR SUAM,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1309,Kopi Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1311,TEH 'O' LIMAU PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1312,Teh Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1314,TEH HALIA PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1315,NESCAFE PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1317,NESLO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1318,HORLICKS PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1319,MILO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1320,BARLI PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1321,MILO 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1322,AIR KOSONG,gelas besar,MAKANAN SIAP MASAK,MINUMAN
1339,JUS EPAL,segelas,MAKANAN SIAP MASAK,MINUMAN
1340,JUS MANGGA,segelas,MAKANAN SIAP MASAK,MINUMAN
1341,JUS TEMBIKAI,segelas,MAKANAN SIAP MASAK,MINUMAN
1343,JUS BELIMBING,segelas,MAKANAN SIAP MASAK,MINUMAN
1344,JUS LAICI,segelas,MAKANAN SIAP MASAK,MINUMAN
1355,100 PLUS (ORIGINAL),1.5 liter,MINUMAN,TERSEDIA MINUM
1358,ROTI SARDIN,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN
1359,KOPI 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1360,TEH 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1364,AYAM TUA HIDUP,1kg,BARANGAN SEGAR,AYAM
1367,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG  (MUTTON) (AUSTRALIA),1kg,BARANGAN SEGAR,DAGING
1368,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING
1369,DAGING KAMBING TEMPATAN BERTULANG,1kg,BARANGAN SEGAR,DAGING
1370,DAGING LEMBU IMPORT (TOPSIDE),1kg,BARANGAN SEGAR,DAGING
1371,DAGING LEMBU IMPORT (BLADE),1kg,BARANGAN SEGAR,DAGING
1372,DAGING LEMBU IMPORT (CHUCKTENDER),1kg,BARANGAN SEGAR,DAGING
1373,DAGING LEMBU IMPORT (KNUCKLE),1kg,BARANGAN SEGAR,DAGING
1374,DAGING KERBAU TEMPATAN,1kg,BARANGAN SEGAR,DAGING
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING
1376,DAGING KERBAU IMPORT (INDIA) * (RUMP),1kg,BARANGAN SEGAR,DAGING
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING
1378,DAGING KERBAU IMPORT (INDIA) * (CHUCK),1kg,BARANGAN SEGAR,DAGING
1379,DAGING BABI (PERUT / BELLY),1kg,BARANGAN SEGAR,DAGING
1380,DAGING BABI (DAGING & LEMAK / LEAN & FAT),1kg,BARANGAN SEGAR,DAGING
1381,DAGING BABI (ISI DAGING / PURE LEAN),1kg,BARANGAN SEGAR,DAGING
1383,DAGING BABI (RUSUK DENGAN DAGING/ RIBS WITH MEAT),1kg,BARANGAN SEGAR,DAGING
1384,BABI HIDUP (±100KG / SEEKOR),±100kg/seekor,BARANGAN SEGAR,DAGING
1391,UDANG PUTIH BESAR/BANANA PRAWN (BERAT ANTARA 41 EKOR HINGGA 60 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT
1396,KUBIS BULAT IMPORT (INDONESIA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1399,BAWANG PERAI (LEEK) TEMPATAN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1400,BAWANG PERAI (LEEK) IMPORT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1402,HORLICKS (PAKET),400 g,MINUMAN,BAHAN-BAHAN MINUMAN
1412,KUBIS PANJANG CHINA - BESAR,1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1419,KACANG DAL BIASA (INDIA),1kg,BARANGAN KERING,KACANG
1420,KACANG DAL MALAVI (INDIA),1kg,BARANGAN KERING,KACANG
1422,KACANG DAL (AUSTRALIA),1kg,BARANGAN KERING,KACANG
1431,DAGING LEMBU TEMPATAN (BAHAGIAN 1 DAGING PAHA (KECUALI BATANG PINANG - TENDERLOIN),1kg,BARANGAN SEGAR,DAGING
1432,DAGING LEMBU TEMPATAN (BAHAGIAN 2 DAGING PEJAL (KECUALI BATANG PINANG - TENDERLOIN),1kg,BARANGAN SEGAR,DAGING
1436,IKAN KERISI (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT
1437,IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT
1438,IKAN TENGGIRI BATANG (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT
1440,BAWANG BESAR IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG
1441,BAWANG BESAR IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG
1442,BAWANG KECIL MERAH BIASA IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG
1443,BAWANG KECIL MERAH IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG
1444,BAWANG KECIL MERAH IMPORT (MYANMAR),1kg,BARANGAN KERING,BAWANG
1445,BERAS CAP FAIZA EMAS (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS
1458,KUBIS BULAT IMPORT (BEIJING),1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1463,KRIMER SEJAT CARNATION,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG
1468,PANADOL FOR CHILDREN SUSPENSION 1-6,60ml,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN
1469,NESCAFE ''O'' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN
1474,BERAS BASMATHI - FAIZA (KASHMIR),5 kg,BARANGAN BERBUNGKUS,BERAS
1475,IKAN BAWAL PUTIH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT
1476,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT
1477,IKAN MABUNG (ANTARA 6 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT
1479,BROKOLI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1481,KUBIS BUNGA (CAULIFLOWER),1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1482,KUBIS PANJANG (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1483,MEE KUNING BASAH (PELBAGAI JENAMA),+-450g,BARANGAN SEGAR,MEE/KUETIAU
1484,KUETIAU BASAH (PELBAGAI JENAMA),+-450g,BARANGAN SEGAR,MEE/KUETIAU
1485,EPAL HIJAU GRANNY SMITH (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN
1486,EPAL MERAH RED DELICIOUS (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN
1487,OREN VALENCIA (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN
1489,ASAM JAWA (BERBIJI) PELBAGAI JENAMA,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1491,BERAS PULUT THAILAND (SUSU) PELBAGAI JENAMA,1kg,BARANGAN BERBUNGKUS,BERAS
1492,BERAS PULUT THAILAND (BIASA) PELBAGAI JENAMA,1kg,BARANGAN BERBUNGKUS,BERAS
1493,BIHUN KERING TEMPATAN (CAP JASMINE),400 g,BARANGAN BERBUNGKUS,BIHUN
1494,ROTI GARDENIA BREAKTHRU - ROTI GANDUM PENUH,400 g,BARANGAN BERBUNGKUS,ROTI
1498,TEPUNG JAGUNG (PELBAGAI JENAMA),400 g,BARANGAN BERBUNGKUS,TEPUNG
1505,DUTCH LADY UHT COKLAT (KOTAK),200 ml,MINUMAN,TERSEDIA MINUM
1506,DUTCH LADY UHT FULL CREAM (KOTAK),200 ml,MINUMAN,TERSEDIA MINUM
1507,COCA COLA (TIN),320 ml,MINUMAN,TERSEDIA MINUM
1512,MAMEX LANGKAH 1 - RUMUSAN BAYI (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI
1513,SUSTAGEN KID 3+ (VANILLA) - KOTAK,600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI
1514,SUSTAGEN JUNIOR 1+ (VANILLA ) - KOTAK,600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI
1515,HEINZ FARLEY RUSKS (ORIGINAL),120 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI
1517,HEINZ APPLE PUREE,110 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI
1522,DRYPERS WEE WEE DRY,M74,SUSU DAN BARANGAN BAYI,LAMPIN PAKAI BUANG
1524,BERUS GIGI COLGATE (ZIG ZAG - SOFT),1 batang,PRODUK KEBERSIHAN,PENJAGAAN DIRI
1525,BERUS GIGI ORAL B (COMPLETE EASY CLEAN - SOFT),1 batang,PRODUK KEBERSIHAN,PENJAGAAN DIRI
1538,SABUN PENCUCI AXION PASTE (LEMON),350 g,PRODUK KEBERSIHAN,PENJAGAAN RUMAH
1539,SABUN PENCUCI KUAT HARIMAU (LEMON),400 g,PRODUK KEBERSIHAN,PENJAGAAN RUMAH
1540,SABUN PENCUCI GLO (LEMON),900ml,PRODUK KEBERSIHAN,PENJAGAAN RUMAH
1541,SABUN PENCUCI SUNLIGHT (LEMON),1000 ml,PRODUK KEBERSIHAN,PENJAGAAN RUMAH
1543,KIUB SUP TOMYAM (MAGGI),2 X 10G,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1544,SERBUK NASI GORENG CINA ADABI,17 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1545,PERENCAH NASI GORENG IKAN BILIS SERI AJI,26G,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1547,PEPSI COLA (TIN),320 ml,MINUMAN,TERSEDIA MINUM
1550,PAHA AYAM (CHICKEN DRUMSTICK),1kg,BARANGAN SEGAR,AYAM
1551,DADA AYAM (CHICKEN KEEL) (1KG),1kg,BARANGAN SEGAR,AYAM
1552,THIGH AYAM,1kg,BARANGAN SEGAR,AYAM
1553,WHOLE LEG AYAM,1kg,BARANGAN SEGAR,AYAM
1554,IKAN MERAH (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT
1555,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT
1556,BAYAM HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1557,BAYAM MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1558,SAWI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1559,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1560,KAILAN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1561,TAUGE KACANG HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1562,UDANG KERING,100 g,BARANGAN KERING,HASIL LAUT KERING
1563,SOTONG KERING (SAIZ SERDAHANA),1kg,BARANGAN KERING,HASIL LAUT KERING
1564,BAWANG PUTIH IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG
1566,SERBUK KARI IKAN (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS)
1567,SERBUK KARI DAGING (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS)
1568,SERBUK KARI IKAN ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1569,SERBUK KARI IKAN ALAGAPPAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1570,SERBUK KARI AYAM DAN DAGING ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1571,SERBUK KARI DAGING ALAGAPPAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1572,SERBUK KARI DAGING BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1573,SERBUK KURMA AYAM & DAGING ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1575,SERBUK KURMA BABAS,125 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1576,SERBUK KARI KURMA ALAGAPPAS,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1577,SERBUK PERENCAH SUP ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1578,SERBUK REMPAH SUP MAK SITI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1579,SERBUK SUP FAIZA,220 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1581,BERAS CAP RAMBUTAN (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS
1582,BERAS CAP JASMINE (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS
1583,BERAS SUPER CAP JATI TWR  5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS
1585,BIHUN KERING IMPORT (CAP BINTANG),400 g,BARANGAN BERBUNGKUS,BIHUN
1586,ROTI SANDWICH MASSIMO DENGAN GERMA GANDUM,400 g,BARANGAN BERBUNGKUS,ROTI
1587,GULA HALUS CASTOR (PELBAGAI JENAMA),+- 500g,BARANGAN BERBUNGKUS,GULA
1588,GULA MERAH LEMBUT (PELBAGAI JENAMA),+- 500g,BARANGAN BERBUNGKUS,GULA
1589,GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,GULA
1590,GULA PUTIH BERTAPIS HALUS (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,GULA
1591,TEPUNG BERAS (PELBAGAI JENAMA),500 g,BARANGAN BERBUNGKUS,TEPUNG
1593,TEPUNG GANDUM GP (BERBUNGKUS) PELBAGAI JENAMA,1kg,BARANGAN BERBUNGKUS,TEPUNG
1594,TEPUNG PULUT (PELBAGAI JENAMA),500 g,BARANGAN BERBUNGKUS,TEPUNG
1595,MINYAK JAGUNG CAP DAISY,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1596,MINYAK JAGUNG CAP MAZOLA,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1597,MINYAK JAGUNG CAP VECORN,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1598,MINYAK MASAK SEBATIAN CAP HELANG,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1599,MINYAK MASAK SEBATIAN CAP NEPTUNE,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1600,MINYAK MASAK SEBATIAN CAP PISAU,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1601,MINYAK MASAK TULEN CAP BURUH,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1602,MINYAK MASAK TULEN CAP VESAWIT,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1603,MINYAK SAPI CAP WINDMILL GHEEBLEND,400 g,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1604,ASAM JAWA (TIDAK BERBIJI) ADABI,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1605,GARAM HALUS BIASA (PELBAGAI JENAMA),+-350g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1606,MENTEGA KACANG HALUS LADY'S CHOICE,500 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS)
1607,LEPAAN FARMCOWS,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS)
1608,LEPAAN BUTTERCUP,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS)
1609,MENTEGA SCS (SALTED),250 g,BARANGAN BERBUNGKUS,MENTEGA
1610,SANTAN KELAPA JENAMA M&S,500 ml,BARANGAN BERBUNGKUS,SANTAN (KOTAK)
1611,SANTAN KELAPA JENAMA KARA,200 ml,BARANGAN BERBUNGKUS,SANTAN (KOTAK)
1612,SANTAN KELAPA JENAMA HARMUNI,200 ml,BARANGAN BERBUNGKUS,SANTAN (KOTAK)
1613,ESEN STAR BRAND 'PELBAGAI PERISA',25 ml,BARANGAN BERBUNGKUS,ESEN DAN RAGI
1615,MENTEGA ANCHOR (SALTED),227g,BARANGAN BERBUNGKUS,MENTEGA
1616,MAURIPAN YIS SEGERA,11g,BARANGAN BERBUNGKUS,ESEN DAN RAGI
1618,SUSU ISIAN PEKAT MANIS CAP F & N,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG
1619,SUSU TEPUNG SEGERA DUTCHLADY (BIASA ),600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG
1623,S-26 SMA RUMUSAN BAYI LANGKAH 1 - (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI
1624,S-26 GOLD SMA RUMUSAN BAYI LANGKAH 1 - (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI
1628,NESTLE CERELAC GANDUM DAN MADU - KOTAK,225g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI
1629,NESTLE CERELAC BERAS MERAH & SUSU - TIN,350 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI
1630,BERUS GIGI COLGATE (TWISTER - SOFT),1 batang,PRODUK KEBERSIHAN,PENJAGAAN DIRI
1635,NESTLE COFFEE-MATE,450 g,MINUMAN,BAHAN-BAHAN MINUMAN
1636,MILO (PAKET),400 g,MINUMAN,BAHAN-BAHAN MINUMAN
1637,MILO (PAKET),1kg,MINUMAN,BAHAN-BAHAN MINUMAN
1638,MILO 3 IN 1 (PAKET) - ORIGINAL,30x33g,MINUMAN,BAHAN-BAHAN MINUMAN
1645,SERBUK KOPI CAP KAPAL API (KASAR) (BERBUNGKUS),180 g,MINUMAN,BAHAN-BAHAN MINUMAN
1646,SERBUK KOPI HANG TUAH ROBUSTA,200 g,MINUMAN,BAHAN-BAHAN MINUMAN
1647,TEH LIPTON (SERBUK),400 g,MINUMAN,BAHAN-BAHAN MINUMAN
1650,TEH LIPTON (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN
1651,YEO'S SOYA (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM
1652,PAPERMATE LIQUID PAPER (PEN),7ml,BARANGAN KEDAI SERBANEKA,ALAT TULIS DAN BAHAN BACAAN
1653,UHU GLUE (GAM PELBAGAI KEGUNAAN),20ml,BARANGAN KEDAI SERBANEKA,ALAT TULIS DAN BAHAN BACAAN
1654,MAJALAH CLEO,senaskah,BARANGAN KEDAI SERBANEKA,MAJALAH
1657,MAJALAH MINGGUAN WANITA,senaskah,BARANGAN KEDAI SERBANEKA,MAJALAH
1658,COLGATE TOOTHBRUSH EXTRA CLEAN MEDIUM,1 batang,BARANGAN KEDAI SERBANEKA,BERUS GIGI
1659,DARLIE TRAVEL KIT ADULT,1 unit,BARANGAN KEDAI SERBANEKA,UBAT GIGI
1669,KOTEX SOFT AND SMOOTH OVERNIGHT WING 8 PADS (28CM),paket,BARANGAN KEDAI SERBANEKA,TUALA WANITA
1670,KOTEX SOFT & SMOOTH MAXI WING 10 PADS,paket,BARANGAN KEDAI SERBANEKA,TUALA WANITA
1671,REJOICE RICH SOFT SMOOTH SHAMPOO,70ml,BARANGAN KEDAI SERBANEKA,SYAMPU
1673,HEAD AND SHOULDERS COOL MENTHOL SHAMPOO,70ml,BARANGAN KEDAI SERBANEKA,SYAMPU
1677,KLEENEX FACIAL TISSUE VINTAGE SOFTPACK 50S X 3,paket,BARANGAN KEDAI SERBANEKA,TISU
1678,FUMAKILLA D1 (LINGKARAN NYAMUK) - 1 X 10'S,paket,BARANGAN KEDAI SERBANEKA,PENGHALAU NYAMUK
1680,PANADOL ACTIFAST 10S,paket,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN
1682,STREPSILS ORIGINAL 6 LOZENGES,paket,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN
1683,MISTER POTATO CRISPS (PELBAGAI PERISA) - BOTOL,160 g,BARANGAN KEDAI SERBANEKA,MAKANAN RINGAN
1684,PRINGLES POTATO CRISPS (PELBAGAI PERISA) - BOTOL,110 g,BARANGAN KEDAI SERBANEKA,MAKANAN RINGAN
1685,MISTER POTATO CHIPS (PELBAGAI PERISA) - PAKET,75 g,BARANGAN KEDAI SERBANEKA,MAKANAN RINGAN
1691,OREO BISKUT SANDWICH COKLAT JENAMA KRAFT (PELBAGAI PERISA),paket,BARANGAN KEDAI SERBANEKA,BISKUT
1692,CREAM O BISKUT SANDWICH JENAMA JACK N JILL (PELBAGAI PERISA),132g,BARANGAN KEDAI SERBANEKA,BISKUT
1693,CHIPSMORE ORIGINAL,163.2g,BARANGAN KEDAI SERBANEKA,BISKUT
1695,ENO SACHET GINGER,2x4.3g,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN
1696,CHIPSMORE MINI HAZELNUTS,88g,BARANGAN KEDAI SERBANEKA,BISKUT
1697,TIGER BISKUAT SUSU,75 g,BARANGAN KEDAI SERBANEKA,BISKUT
1699,CADBURY DAIRY MILK HAZELNUT,40 g,BARANGAN KEDAI SERBANEKA,COKLAT
1700,KINDER JOY FOR BOYS/FOR GIRLS,20 g,BARANGAN KEDAI SERBANEKA,COKLAT
1701,TOBLERONE (MILK CHOCOLATE),50 g,BARANGAN KEDAI SERBANEKA,COKLAT
1704,NIPS CHOCOLATE COATED ROASTED PEANUT,85g,BARANGAN KEDAI SERBANEKA,COKLAT
1710,MAGGI HOT CUP (CURRY),64g,BARANGAN KEDAI SERBANEKA,MAKANAN SEGERA
1712,YAKULT (ACE/ACE LIGHT),80ml,BARANGAN KEDAI SERBANEKA,MINUMAN
1718,LIVITA WITH HONEY (TIN),250 ml,BARANGAN KEDAI SERBANEKA,MINUMAN
1719,SEVEN UP LEMON & LIME,500 ml,BARANGAN KEDAI SERBANEKA,MINUMAN
1725,THREE LEGS COOLING WATER,200 ml,BARANGAN KEDAI SERBANEKA,MINUMAN
1727,COOL RHINO COOLING WATER,350ml,BARANGAN KEDAI SERBANEKA,MINUMAN
1728,NASI GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,NASI
1729,NASI GORENG SEAFOOD,sepinggan,MAKANAN SIAP MASAK,NASI
1730,MI GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1731,MI GORENG MAMAK,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1732,MI HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1733,MI SUP (AYAM/DAGING),semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1734,MI TOM YAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1735,MI BANDUNG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1736,MI LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1737,MI KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1738,BIHUN SUP (AYAM/DAGING),semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1739,KUETIAU GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1740,KUETIAU HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
