#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
MYS,Malaysia,64406,"Infants lacking immunization, DTP (% of one-year-olds)",2,2016
MYS,Malaysia,65606,Gross fixed capital formation (% of GDP),25.51776509,2016
MYS,Malaysia,68606,Gender Inequality Index (GII),0.264,2016
MYS,Malaysia,69206,Life expectancy at birth (years),75.649,2016
MYS,Malaysia,69706,Expected years of schooling (years),13.66391,2016
MYS,Malaysia,71506,Inequality-adjusted life expectancy index,0.805931078,2016
MYS,Malaysia,89006,"Maternal mortality ratio (deaths per 100,000 live births)",29,2016
MYS,Malaysia,97306,Natural resource depletion (% of GNI),2.355945481,2016
MYS,Malaysia,99106,Net official development assistance received (% of GNI),-0.01769106,2016
MYS,Malaysia,100806,Forest area (% of total land area),67.59762355,2016
MYS,Malaysia,101406,"Literacy rate, adult (% ages 15 and older)",93.7347,2016
MYS,Malaysia,101806,Inequality in life expectancy (%),5.8644,2016
MYS,Malaysia,103006,Mean years of schooling (years),10.15999793,2016
MYS,Malaysia,103206,Life expectancy index,0.856138462,2016
MYS,Malaysia,103606,Income index,0.833114899,2016
MYS,Malaysia,103706,Education index,0.718219653,2016
MYS,Malaysia,110906,"Unemployment, youth (% ages 15–24)",10.995,2016
MYS,Malaysia,111106,International inbound tourists (thousands),26757,2016
MYS,Malaysia,111306,Private capital flows (% of GDP),-0.0135469,2016
MYS,Malaysia,112506,"Suicide rate, male (per 100,000 people, age-standardized)",8.7,2016
MYS,Malaysia,112606,"Suicide rate, female (per 100,000 people, age-standardized)",3.6,2016
MYS,Malaysia,120606,"Life expectancy at birth, female (years)",77.84,2016
MYS,Malaysia,121106,"Life expectancy at birth, male (years)",73.718,2016
MYS,Malaysia,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),35.779,2016
MYS,Malaysia,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),8.98,2016
MYS,Malaysia,123306,"Expected years of schooling, female (years)",14.0857,2016
MYS,Malaysia,123406,"Expected years of schooling, male (years)",13.2902,2016
MYS,Malaysia,123506,"Estimated gross national income per capita, female (2017 PPP $)",19062.55923,2016
MYS,Malaysia,123606,"Estimated gross national income per capita, male (2017 PPP $)",30300.97652,2016
MYS,Malaysia,128306,"Prison population (per 100,000 people)",168.2,2016
MYS,Malaysia,132706,Population ages 65 and older (millions),1.903401,2016
MYS,Malaysia,132806,Population under age 5 (millions),2.55362,2016
MYS,Malaysia,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",96.94322,2016
MYS,Malaysia,133206,Exports and imports (% of GDP),126.89898,2016
MYS,Malaysia,136906,"Human Development Index (HDI), female",0.788185641,2016
MYS,Malaysia,137006,"Human Development Index (HDI), male",0.810159967,2016
MYS,Malaysia,137506,Human Development Index (HDI),0.8,2016
MYS,Malaysia,137906,Gender Development Index (GDI),0.972876559,2016
MYS,Malaysia,140606,"Unemployment, total (% of labour force)",3.44,2016
MYS,Malaysia,147206,International student mobility (% of total tertiary enrolment),4.41779,2016
MYS,Malaysia,147906,Youth not in school or employment (% ages 15-24),11.69,2016
MYS,Malaysia,148206,Labour force participation rate (% ages 15 and older),64.291,2016
MYS,Malaysia,148306,Employment to population ratio (% ages 15 and older),62.079,2016
MYS,Malaysia,149206,Government expenditure on education (% of GDP),4.82401,2016
MYS,Malaysia,150606,Employment in agriculture (% of total employment),11.369,2016
MYS,Malaysia,150706,Employment in services (% of total employment),61.144,2016
MYS,Malaysia,153706,Working poor at PPP$3.20 a day (% of total employment),0.062,2016
MYS,Malaysia,164406,Adjusted net savings (% of GNI),8.0306849,2016
MYS,Malaysia,169706,Total unemployment rate (female to male ratio),1.252470513,2016
MYS,Malaysia,169806,Youth unemployment rate (female to male ratio),1.136839075,2016
MYS,Malaysia,170006,Concentration index (exports) (value),0.173722312,2016
MYS,Malaysia,174506,"Mortality rate attributed to household and ambient air pollution (per 100,000 population, age-standardized)",47,2016
MYS,Malaysia,174606,"Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)",0.4,2016
MYS,Malaysia,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",39.98066769,2016
MYS,Malaysia,177706,Survival rate to the last grade of lower secondary general education (%),94.2394,2016
MYS,Malaysia,178306,Gross capital formation (% of GDP),25.995481,2016
MYS,Malaysia,179406,Skilled labour force (% of labour force),66.8,2016
MYS,Malaysia,179706,Ratio of education and health expenditure to military expenditure,6.131711,2016
MYS,Malaysia,181206,Proportion of births attended by skilled health personnel (%),99.5,2016
MYS,Malaysia,181706,Rural population with access to electricity (%),100,2016
MYS,Malaysia,181806,Current health expenditure (% of GDP),3.799418,2016
MYS,Malaysia,182106,"Malaria incidence (per 1,000 people at risk)",0.21672,2016
MYS,Malaysia,182206,"Tuberculosis incidence (per 100,000 people)",94,2016
MYS,Malaysia,182806,Population using safely managed drinking-water services (%),93,2016
MYS,Malaysia,183906,"Labour share of GDP, comprising wages and social protection transfers (%)",42.20000076,2016
MYS,Malaysia,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.01581,2016
MYS,Malaysia,185106,"Age-standardized mortality rate attributed to noncommunicable diseases, female",446.4,2016
MYS,Malaysia,185206,"Age-standardized mortality rate attributed to noncommunicable diseases, male",551,2016
MYS,Malaysia,185306,Percentage of primary schools with access to the internet,99.3,2016
MYS,Malaysia,185406,Percentage of secondary schools with access to the internet,100,2016
MYS,Malaysia,186706,"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)",0.27551,2016
MYS,Malaysia,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",783.8875526,2016
MYS,Malaysia,194906,GDP per capita (2017 PPP $),25546.44158,2016
MYS,Malaysia,195206,Population using safely managed sanitation services (%),87,2016
MYS,Malaysia,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",8.040579503,2016
MYS,Malaysia,195706,Gross national income (GNI) per capita (constant 2017 PPP$),24845.99383,2016
MYS,Malaysia,195906,"Domestic material consumption per capita, (tonnes)",18.94036,2016
MYS,Malaysia,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",63.63,2016
MYS,Malaysia,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",35.22,2016
MYS,Malaysia,23806,Population with at least some secondary education (% ages 25 and older),73.20865,2015
MYS,Malaysia,23906,"Population with at least some secondary education, female (% ages 25 and older)",70.4822572,2015
MYS,Malaysia,24006,"Population with at least some secondary education, male (% ages 25 and older)",80.7,2015
MYS,Malaysia,24106,"Mean years of schooling, female (years)",9.9168,2015
MYS,Malaysia,24206,"Mean years of schooling, male (years)",10.2647,2015
MYS,Malaysia,31706,Share of seats in parliament (% held by women),13.24041812,2015
MYS,Malaysia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",13.149,2015
MYS,Malaysia,43006,Vulnerable employment (% of total employment),22.062,2015
MYS,Malaysia,43606,"Internet users, total (% of population)",71.0641,2015
MYS,Malaysia,44206,Total population (millions),30.270965,2015
MYS,Malaysia,45106,Urban population (%),74.2,2015
MYS,Malaysia,45806,Primary school teachers trained to teach (%),99.93439,2015
MYS,Malaysia,46006,Mobile phone subscriptions (per 100 people),145.697,2015
MYS,Malaysia,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",11.521,2015
MYS,Malaysia,47906,Median age (years),28.177,2015
MYS,Malaysia,48706,"Labour force participation rate (% ages 15 and older), female",50.468,2015
MYS,Malaysia,48806,"Labour force participation rate (% ages 15 and older), male",77.602,2015
MYS,Malaysia,49006,Sex ratio at birth (male to female births),1.06,2015
MYS,Malaysia,52306,Research and development expenditure (% of GDP),1.2998,2015
MYS,Malaysia,52606,"Remittances, inflows (% of GDP)",0.5454438,2015
MYS,Malaysia,53506,"Foreign direct investment, net inflows (% of GDP)",3.2709496,2015
MYS,Malaysia,57206,"Mortality rate, infant (per 1,000 live births)",6.843534,2015
MYS,Malaysia,57506,"Mortality rate, under-five (per 1,000 live births)",7.99867,2015
MYS,Malaysia,57806,"Mortality rate, female adult (per 1,000 people)",85.207,2015
MYS,Malaysia,57906,"Mortality rate, male adult (per 1,000 people)",158.239,2015
MYS,Malaysia,58006,"HIV prevalence, adult (% ages 15-49)",0.4,2015
MYS,Malaysia,63106,Population ages 15–64 (millions),20.867236,2015
MYS,Malaysia,63206,"Gross enrolment ratio, primary (% of primary school-age population)",103.81867,2015
MYS,Malaysia,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",84.93446,2015
MYS,Malaysia,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",45.59271,2015
MYS,Malaysia,64306,"Infants lacking immunization, measles (% of one-year-olds)",7,2015
MYS,Malaysia,64406,"Infants lacking immunization, DTP (% of one-year-olds)",1,2015
MYS,Malaysia,65606,Gross fixed capital formation (% of GDP),25.86561263,2015
MYS,Malaysia,68606,Gender Inequality Index (GII),0.27,2015
MYS,Malaysia,69206,Life expectancy at birth (years),75.461,2015
MYS,Malaysia,69706,Expected years of schooling (years),13.48651,2015
MYS,Malaysia,71506,Inequality-adjusted life expectancy index,0.796215181,2015
MYS,Malaysia,89006,"Maternal mortality ratio (deaths per 100,000 live births)",30,2015
MYS,Malaysia,97306,Natural resource depletion (% of GNI),3.16275077,2015
MYS,Malaysia,99106,Net official development assistance received (% of GNI),-0.00020469,2015
MYS,Malaysia,100806,Forest area (% of total land area),67.55440572,2015
MYS,Malaysia,101806,Inequality in life expectancy (%),6.684,2015
MYS,Malaysia,103006,Mean years of schooling (years),10.15175994,2015
MYS,Malaysia,103206,Life expectancy index,0.853246154,2015
MYS,Malaysia,103606,Income index,0.828624437,2015
MYS,Malaysia,103706,Education index,0.713017276,2015
MYS,Malaysia,110806,"Net migration rate (per 1,000 people)",1.71,2015
MYS,Malaysia,110906,"Unemployment, youth (% ages 15–24)",11.152,2015
MYS,Malaysia,111106,International inbound tourists (thousands),25721,2015
MYS,Malaysia,111306,Private capital flows (% of GDP),2.625128,2015
MYS,Malaysia,112506,"Suicide rate, male (per 100,000 people, age-standardized)",8.7,2015
MYS,Malaysia,112606,"Suicide rate, female (per 100,000 people, age-standardized)",3.6,2015
MYS,Malaysia,120606,"Life expectancy at birth, female (years)",77.663,2015
MYS,Malaysia,121106,"Life expectancy at birth, male (years)",73.521,2015
MYS,Malaysia,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),36.396,2015
MYS,Malaysia,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),8.668,2015
MYS,Malaysia,123306,"Expected years of schooling, female (years)",14.0313,2015
MYS,Malaysia,123406,"Expected years of schooling, male (years)",12.9819,2015
MYS,Malaysia,123506,"Estimated gross national income per capita, female (2017 PPP $)",18425.88979,2015
MYS,Malaysia,123606,"Estimated gross national income per capita, male (2017 PPP $)",29482.14731,2015
MYS,Malaysia,128306,"Prison population (per 100,000 people)",168.8,2015
MYS,Malaysia,132706,Population ages 65 and older (millions),1.808864,2015
MYS,Malaysia,132806,Population under age 5 (millions),2.504058,2015
MYS,Malaysia,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",97.0206,2015
MYS,Malaysia,133206,Exports and imports (% of GDP),131.37005,2015
MYS,Malaysia,136906,"Human Development Index (HDI), female",0.783888115,2015
MYS,Malaysia,137006,"Human Development Index (HDI), male",0.804278851,2015
MYS,Malaysia,137506,Human Development Index (HDI),0.796,2015
MYS,Malaysia,137906,Gender Development Index (GDI),0.97464718,2015
MYS,Malaysia,140606,"Unemployment, total (% of labour force)",3.1,2015
MYS,Malaysia,147206,International student mobility (% of total tertiary enrolment),3.58792,2015
MYS,Malaysia,147906,Youth not in school or employment (% ages 15-24),12.094,2015
MYS,Malaysia,148206,Labour force participation rate (% ages 15 and older),64.438,2015
MYS,Malaysia,148306,Employment to population ratio (% ages 15 and older),62.441,2015
MYS,Malaysia,149206,Government expenditure on education (% of GDP),4.97274,2015
MYS,Malaysia,150606,Employment in agriculture (% of total employment),12.472,2015
MYS,Malaysia,150706,Employment in services (% of total employment),60.012,2015
MYS,Malaysia,153706,Working poor at PPP$3.20 a day (% of total employment),0.07,2015
MYS,Malaysia,164406,Adjusted net savings (% of GNI),8.1971183,2015
MYS,Malaysia,169706,Total unemployment rate (female to male ratio),1.161246149,2015
MYS,Malaysia,169806,Youth unemployment rate (female to male ratio),1.172717693,2015
MYS,Malaysia,170006,Concentration index (exports) (value),0.169554413,2015
MYS,Malaysia,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",39.86214486,2015
MYS,Malaysia,177706,Survival rate to the last grade of lower secondary general education (%),93.24267,2015
MYS,Malaysia,178306,Gross capital formation (% of GDP),25.424214,2015
MYS,Malaysia,179406,Skilled labour force (% of labour force),65.1,2015
MYS,Malaysia,179706,Ratio of education and health expenditure to military expenditure,5.800156,2015
MYS,Malaysia,181206,Proportion of births attended by skilled health personnel (%),99.4,2015
MYS,Malaysia,181706,Rural population with access to electricity (%),100,2015
MYS,Malaysia,181806,Current health expenditure (% of GDP),3.894904,2015
MYS,Malaysia,182106,"Malaria incidence (per 1,000 people at risk)",0.19986,2015
MYS,Malaysia,182206,"Tuberculosis incidence (per 100,000 people)",90,2015
MYS,Malaysia,182806,Population using safely managed drinking-water services (%),93,2015
MYS,Malaysia,183506,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)",38.56042,2015
MYS,Malaysia,183706,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)",61.43958,2015
MYS,Malaysia,183906,"Labour share of GDP, comprising wages and social protection transfers (%)",42.09999847,2015
MYS,Malaysia,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.05772,2015
MYS,Malaysia,185006,Degraded land (% of total land area),16,2015
MYS,Malaysia,185106,"Age-standardized mortality rate attributed to noncommunicable diseases, female",451.7,2015
MYS,Malaysia,185206,"Age-standardized mortality rate attributed to noncommunicable diseases, male",554,2015
MYS,Malaysia,186706,"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)",0.29273,2015
MYS,Malaysia,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",750.4924707,2015
MYS,Malaysia,194906,GDP per capita (2017 PPP $),24792.48828,2015
MYS,Malaysia,195206,Population using safely managed sanitation services (%),86,2015
MYS,Malaysia,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",7.706005511,2015
MYS,Malaysia,195706,Gross national income (GNI) per capita (constant 2017 PPP$),24118.26266,2015
MYS,Malaysia,195906,"Domestic material consumption per capita, (tonnes)",18.61622,2015
MYS,Malaysia,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",64.97,2015
MYS,Malaysia,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",39.88,2015
MYS,Malaysia,23806,Population with at least some secondary education (% ages 25 and older),72.21006,2014
MYS,Malaysia,23906,"Population with at least some secondary education, female (% ages 25 and older)",68.7645344,2014
MYS,Malaysia,24006,"Population with at least some secondary education, male (% ages 25 and older)",78.768,2014
MYS,Malaysia,24106,"Mean years of schooling, female (years)",9.8168,2014
MYS,Malaysia,24206,"Mean years of schooling, male (years)",10.2342,2014
MYS,Malaysia,31706,Share of seats in parliament (% held by women),14.23487544,2014
MYS,Malaysia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",13.0684,2014
MYS,Malaysia,43006,Vulnerable employment (% of total employment),20.888,2014
MYS,Malaysia,43606,"Internet users, total (% of population)",63.6654,2014
MYS,Malaysia,44206,Total population (millions),29.866606,2014
MYS,Malaysia,45106,Urban population (%),73.6,2014
MYS,Malaysia,45806,Primary school teachers trained to teach (%),98.64774,2014
MYS,Malaysia,46006,Mobile phone subscriptions (per 100 people),150.431,2014
MYS,Malaysia,46106,Primary school dropout rate (% of primary school cohort),8.01266,2014
MYS,Malaysia,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",11.4126,2014
MYS,Malaysia,48706,"Labour force participation rate (% ages 15 and older), female",50.131,2014
MYS,Malaysia,48806,"Labour force participation rate (% ages 15 and older), male",77.581,2014
MYS,Malaysia,52306,Research and development expenditure (% of GDP),1.26275,2014
MYS,Malaysia,52606,"Remittances, inflows (% of GDP)",0.46722723,2014
MYS,Malaysia,53506,"Foreign direct investment, net inflows (% of GDP)",3.1412678,2014
MYS,Malaysia,57206,"Mortality rate, infant (per 1,000 live births)",6.845147,2014
MYS,Malaysia,57506,"Mortality rate, under-five (per 1,000 live births)",8.000538,2014
MYS,Malaysia,57806,"Mortality rate, female adult (per 1,000 people)",86.445,2014
MYS,Malaysia,57906,"Mortality rate, male adult (per 1,000 people)",159.946,2014
MYS,Malaysia,58006,"HIV prevalence, adult (% ages 15-49)",0.4,2014
MYS,Malaysia,63106,Population ages 15–64 (millions),20.504717,2014
MYS,Malaysia,63206,"Gross enrolment ratio, primary (% of primary school-age population)",104.36137,2014
MYS,Malaysia,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",85.35154,2014
MYS,Malaysia,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",39.50857,2014
MYS,Malaysia,64306,"Infants lacking immunization, measles (% of one-year-olds)",6,2014
MYS,Malaysia,64406,"Infants lacking immunization, DTP (% of one-year-olds)",1,2014
MYS,Malaysia,65606,Gross fixed capital formation (% of GDP),25.97449665,2014
MYS,Malaysia,68606,Gender Inequality Index (GII),0.265,2014
MYS,Malaysia,69206,Life expectancy at birth (years),75.268,2014
MYS,Malaysia,69706,Expected years of schooling (years),13.31181,2014
MYS,Malaysia,71506,Inequality-adjusted life expectancy index,0.808613354,2014
MYS,Malaysia,89006,"Maternal mortality ratio (deaths per 100,000 live births)",30,2014
MYS,Malaysia,97306,Natural resource depletion (% of GNI),4.145437117,2014
MYS,Malaysia,99106,Net official development assistance received (% of GNI),0.00609413,2014
MYS,Malaysia,100806,Forest area (% of total land area),67.51118789,2014
MYS,Malaysia,101806,Inequality in life expectancy (%),4.9,2014
MYS,Malaysia,103006,Mean years of schooling (years),10.14352195,2014
MYS,Malaysia,103206,Life expectancy index,0.850276923,2014
MYS,Malaysia,103606,Income index,0.822193579,2014
MYS,Malaysia,103706,Education index,0.707889898,2014
MYS,Malaysia,110906,"Unemployment, youth (% ages 15–24)",9.881,2014
MYS,Malaysia,111106,International inbound tourists (thousands),27437,2014
MYS,Malaysia,111306,Private capital flows (% of GDP),5.124436,2014
MYS,Malaysia,120606,"Life expectancy at birth, female (years)",77.48,2014
MYS,Malaysia,121106,"Life expectancy at birth, male (years)",73.317,2014
MYS,Malaysia,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),37.284,2014
MYS,Malaysia,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),8.373,2014
MYS,Malaysia,123306,"Expected years of schooling, female (years)",13.855,2014
MYS,Malaysia,123406,"Expected years of schooling, male (years)",12.8121,2014
MYS,Malaysia,123506,"Estimated gross national income per capita, female (2017 PPP $)",17477.48668,2014
MYS,Malaysia,123606,"Estimated gross national income per capita, male (2017 PPP $)",28417.1449,2014
MYS,Malaysia,128306,"Prison population (per 100,000 people)",160.7,2014
MYS,Malaysia,132706,Population ages 65 and older (millions),1.716914,2014
MYS,Malaysia,132806,Population under age 5 (millions),2.478934,2014
MYS,Malaysia,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",93.01386,2014
MYS,Malaysia,133206,Exports and imports (% of GDP),138.31223,2014
MYS,Malaysia,136906,"Human Development Index (HDI), female",0.777383639,2014
MYS,Malaysia,137006,"Human Development Index (HDI), male",0.79937939,2014
MYS,Malaysia,137506,Human Development Index (HDI),0.791,2014
MYS,Malaysia,137906,Gender Development Index (GDI),0.972483965,2014
MYS,Malaysia,140606,"Unemployment, total (% of labour force)",2.88,2014
MYS,Malaysia,147206,International student mobility (% of total tertiary enrolment),3.29274,2014
MYS,Malaysia,147906,Youth not in school or employment (% ages 15-24),12.77,2014
MYS,Malaysia,148206,Labour force participation rate (% ages 15 and older),64.274,2014
MYS,Malaysia,148306,Employment to population ratio (% ages 15 and older),62.422,2014
MYS,Malaysia,149206,Government expenditure on education (% of GDP),5.21264,2014
MYS,Malaysia,150606,Employment in agriculture (% of total employment),12.231,2014
MYS,Malaysia,150706,Employment in services (% of total employment),59.746,2014
MYS,Malaysia,153706,Working poor at PPP$3.20 a day (% of total employment),0.088,2014
MYS,Malaysia,164406,Adjusted net savings (% of GNI),10.155128,2014
MYS,Malaysia,169706,Total unemployment rate (female to male ratio),1.205838323,2014
MYS,Malaysia,169806,Youth unemployment rate (female to male ratio),1.241046679,2014
MYS,Malaysia,170006,Concentration index (exports) (value),0.177754785,2014
MYS,Malaysia,174306,Fossil fuel energy consumption (% of total energy consumption),96.6281989,2014
MYS,Malaysia,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",39.33851426,2014
MYS,Malaysia,175206,"Antenatal care coverage, at least one visit (%)",97.15,2014
MYS,Malaysia,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",52.2,2014
MYS,Malaysia,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),78.09130096,2014
MYS,Malaysia,177706,Survival rate to the last grade of lower secondary general education (%),88.83206,2014
MYS,Malaysia,178306,Gross capital formation (% of GDP),24.977608,2014
MYS,Malaysia,179406,Skilled labour force (% of labour force),65.54,2014
MYS,Malaysia,179706,Ratio of education and health expenditure to military expenditure,6.175231,2014
MYS,Malaysia,181206,Proportion of births attended by skilled health personnel (%),98.97,2014
MYS,Malaysia,181706,Rural population with access to electricity (%),99.9605,2014
MYS,Malaysia,181806,Current health expenditure (% of GDP),3.773029,2014
MYS,Malaysia,182106,"Malaria incidence (per 1,000 people at risk)",2.63421,2014
MYS,Malaysia,182206,"Tuberculosis incidence (per 100,000 people)",93,2014
MYS,Malaysia,182806,Population using safely managed drinking-water services (%),93,2014
MYS,Malaysia,183906,"Labour share of GDP, comprising wages and social protection transfers (%)",41.5,2014
MYS,Malaysia,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.09769,2014
MYS,Malaysia,186706,"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)",0.30779,2014
MYS,Malaysia,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",714.1323117,2014
MYS,Malaysia,194906,GDP per capita (2017 PPP $),23910.76628,2014
MYS,Malaysia,195206,Population using safely managed sanitation services (%),85,2014
MYS,Malaysia,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",8.073492657,2014
MYS,Malaysia,195706,Gross national income (GNI) per capita (constant 2017 PPP$),23113.03144,2014
MYS,Malaysia,195906,"Domestic material consumption per capita, (tonnes)",18.2229,2014
MYS,Malaysia,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",77.12,2014
MYS,Malaysia,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",44.47,2014
MYS,Malaysia,23806,Population with at least some secondary education (% ages 25 and older),71.21147,2013
MYS,Malaysia,23906,"Population with at least some secondary education, female (% ages 25 and older)",68.07744528,2013
MYS,Malaysia,24006,"Population with at least some secondary education, male (% ages 25 and older)",76.836,2013
MYS,Malaysia,24106,"Mean years of schooling, female (years)",9.7168,2013
MYS,Malaysia,24206,"Mean years of schooling, male (years)",10.2037,2013
MYS,Malaysia,31706,Share of seats in parliament (% held by women),13.87900356,2013
MYS,Malaysia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",12.9878,2013
MYS,Malaysia,43006,Vulnerable employment (% of total employment),21.765,2013
MYS,Malaysia,43606,"Internet users, total (% of population)",57.0575,2013
MYS,Malaysia,44206,Total population (millions),29.468923,2013
MYS,Malaysia,45106,Urban population (%),72.9,2013
MYS,Malaysia,45806,Primary school teachers trained to teach (%),96.7133,2013
MYS,Malaysia,46006,Mobile phone subscriptions (per 100 people),145.933,2013
MYS,Malaysia,46106,Primary school dropout rate (% of primary school cohort),5.77376,2013
MYS,Malaysia,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",11.83126,2013
MYS,Malaysia,48706,"Labour force participation rate (% ages 15 and older), female",49.202,2013
MYS,Malaysia,48806,"Labour force participation rate (% ages 15 and older), male",77.979,2013
MYS,Malaysia,52606,"Remittances, inflows (% of GDP)",0.4402941,2013
MYS,Malaysia,53506,"Foreign direct investment, net inflows (% of GDP)",3.4943018,2013
MYS,Malaysia,57206,"Mortality rate, infant (per 1,000 live births)",6.830114,2013
MYS,Malaysia,57506,"Mortality rate, under-five (per 1,000 live births)",7.983124,2013
MYS,Malaysia,57806,"Mortality rate, female adult (per 1,000 people)",87.683,2013
MYS,Malaysia,57906,"Mortality rate, male adult (per 1,000 people)",161.653,2013
MYS,Malaysia,58006,"HIV prevalence, adult (% ages 15-49)",0.4,2013
MYS,Malaysia,61006,"Homicide rate (per 100,000 people)",2.127665134,2013
MYS,Malaysia,63106,Population ages 15–64 (millions),20.139068,2013
MYS,Malaysia,63206,"Gross enrolment ratio, primary (% of primary school-age population)",104.66016,2013
MYS,Malaysia,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",81.87223,2013
MYS,Malaysia,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",39.07458,2013
MYS,Malaysia,64306,"Infants lacking immunization, measles (% of one-year-olds)",5,2013
MYS,Malaysia,64406,"Infants lacking immunization, DTP (% of one-year-olds)",1,2013
MYS,Malaysia,65606,Gross fixed capital formation (% of GDP),26.47705608,2013
MYS,Malaysia,68606,Gender Inequality Index (GII),0.268,2013
MYS,Malaysia,69206,Life expectancy at birth (years),75.072,2013
MYS,Malaysia,69706,Expected years of schooling (years),13.0758,2013
MYS,Malaysia,71506,Inequality-adjusted life expectancy index,0.805745723,2013
MYS,Malaysia,89006,"Maternal mortality ratio (deaths per 100,000 live births)",30,2013
MYS,Malaysia,97306,Natural resource depletion (% of GNI),4.327813697,2013
MYS,Malaysia,99106,Net official development assistance received (% of GNI),-0.03625983,2013
MYS,Malaysia,100806,Forest area (% of total land area),67.46796411,2013
MYS,Malaysia,101806,Inequality in life expectancy (%),4.9,2013
MYS,Malaysia,103006,Mean years of schooling (years),10.13528396,2013
MYS,Malaysia,103206,Life expectancy index,0.847261538,2013
MYS,Malaysia,103606,Income index,0.815376204,2013
MYS,Malaysia,103706,Education index,0.701059465,2013
MYS,Malaysia,110906,"Unemployment, youth (% ages 15–24)",10.064,2013
MYS,Malaysia,111106,International inbound tourists (thousands),25715,2013
MYS,Malaysia,111306,Private capital flows (% of GDP),0.9049537,2013
MYS,Malaysia,120606,"Life expectancy at birth, female (years)",77.293,2013
MYS,Malaysia,121106,"Life expectancy at birth, male (years)",73.109,2013
MYS,Malaysia,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),38.241,2013
MYS,Malaysia,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),8.086,2013
MYS,Malaysia,123306,"Expected years of schooling, female (years)",13.5915,2013
MYS,Malaysia,123406,"Expected years of schooling, male (years)",12.5985,2013
MYS,Malaysia,123506,"Estimated gross national income per capita, female (2017 PPP $)",16536.94107,2013
MYS,Malaysia,123606,"Estimated gross national income per capita, male (2017 PPP $)",27315.68204,2013
MYS,Malaysia,128306,"Prison population (per 100,000 people)",132.8,2013
MYS,Malaysia,132706,Population ages 65 and older (millions),1.628411,2013
MYS,Malaysia,132806,Population under age 5 (millions),2.452537,2013
MYS,Malaysia,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",89.40528,2013
MYS,Malaysia,133206,Exports and imports (% of GDP),142.72099,2013
MYS,Malaysia,136906,"Human Development Index (HDI), female",0.769840764,2013
MYS,Malaysia,137006,"Human Development Index (HDI), male",0.793862495,2013
