Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Size_type,Rooms Num,Property Type Supergroup
Klcc,1335000,1,1.0,1.0,Serviced Residence,925.0,Partly Furnished,Built-up ,1,Serviced Residence
Klcc,1335000,1,1.0,1.0,Serviced Residence,925.0,Partly Furnished,Built-up ,1,Serviced Residence
Klcc,1380000,1,1.0,1.0,Serviced Residence,925.0,Partly Furnished,Built-up ,1,Serviced Residence
Klcc,1365000,1,1.0,1.0,Serviced Residence,925.0,Partly Furnished,Built-up ,1,Serviced Residence
Ampang,848424,2,2.0,2.0,Serviced Residence (Intermediate),1193.0,Partly Furnished,Built-up ,2,Serviced Residence
Klcc,1450000,1,1.0,1.0,Serviced Residence,850.0,Fully Furnished,Built-up ,1,Serviced Residence
Klcc,1780000,2,2.0,1.0,Serviced Residence,1050.0,Fully Furnished,Built-up ,2,Serviced Residence
Klcc,1780000,2,2.0,1.0,Serviced Residence,1050.0,Fully Furnished,Built-up ,2,Serviced Residence
Klcc,1490000,1+1,1.0,1.0,Serviced Residence,880.0,Fully Furnished,Built-up ,2,Serviced Residence
Sentul,1500000,5,4.0,2.0,3-sty Terrace/Link House (Intermediate),3418.0,Partly Furnished,Land area ,5,Terrace/Link House
Sri Hartamas,3800000,4+1,6.0,2.0,Bungalow (Intermediate),1518.0,Partly Furnished,Land area ,5,Bungalow
Sri Hartamas,3800000,5+1,7.0,2.0,Bungalow (Intermediate),1518.0,Partly Furnished,Land area ,6,Bungalow
Sri Hartamas,3800000,4+1,6.0,2.0,Bungalow (Intermediate),1518.0,Partly Furnished,Land area ,5,Bungalow
Taman Tun Dr Ismail,1450000,5+1,5.0,1.0,2-sty Terrace/Link House (Intermediate),1800.0,Partly Furnished,Land area ,6,Terrace/Link House
Bangsar,1600000,3,2.0,1.0,1-sty Terrace/Link House (Intermediate),1875.0,Partly Furnished,Land area ,3,Terrace/Link House
Kl Sentral,1570000,1+1,2.0,1.0,Serviced Residence (Intermediate),1087.0,Fully Furnished,Built-up ,2,Serviced Residence
Sri Hartamas,2500000,4+1,5.0,3.0,Semi-detached House (Corner),3750.0,Fully Furnished,Built-up ,5,Semi-detached House
Klcc,5800000,5+2,6.0,4.0,Serviced Residence (Corner),5447.0,Partly Furnished,Built-up ,7,Serviced Residence
Sri Hartamas,3200000,5+1,7.0,2.0,Semi-detached House (Intermediate),3800.0,Partly Furnished,Land area ,6,Semi-detached House
Sri Hartamas,2550000,5+1,4.0,2.0,Serviced Residence (Corner),3309.0,Partly Furnished,Built-up ,6,Serviced Residence
Klcc,10226800,5+2,7.0,4.0,Serviced Residence (Corner),6910.0,Partly Furnished,Built-up ,7,Serviced Residence
Sri Hartamas,3300000,5+1,6.0,2.0,Semi-detached House (Intermediate),4000.0,Partly Furnished,Land area ,6,Semi-detached House
Ampang Hilir,1395000,3+1,4.0,2.0,Condominium (Corner),2100.0,Partly Furnished,Built-up ,4,Condominium
Kl Sentral,1550000,3+1,3.0,2.0,Condominium (Corner),1584.0,Fully Furnished,Built-up ,4,Condominium
Bukit Tunku (Kenny Hills),9300000,3+1,4.0,2.0,Bungalow (Intermediate),21668.0,Partly Furnished,Land area ,4,Bungalow
Bukit Tunku (Kenny Hills),13000000,6+1,7.0,6.0,Bungalow (Corner),28000.0,Partly Furnished,Land area ,7,Bungalow
Bangsar,2152000,3+1,3.0,1.0,Condominium (Corner),2152.0,Partly Furnished,Built-up ,4,Condominium
Titiwangsa,2200000,4+2,5.0,2.0,Semi-detached House (Intermediate),3305.0,Partly Furnished,Land area ,6,Semi-detached House
Damansara Heights,1795000,1+1,2.0,2.0,Serviced Residence (Intermediate),1148.0,Partly Furnished,Built-up ,2,Serviced Residence
Damansara Heights,1695000,1+1,2.0,2.0,Serviced Residence (Intermediate),1220.0,Fully Furnished,Built-up ,2,Serviced Residence
Damansara Heights,2381904,2+1,4.0,2.0,Serviced Residence (Intermediate),1668.0,Partly Furnished,Built-up ,3,Serviced Residence
Damansara Heights,1814240,1+1,2.0,2.0,Serviced Residence (Intermediate),1160.0,Partly Furnished,Built-up ,2,Serviced Residence
Damansara Heights,2785500,2+2,4.0,2.0,Serviced Residence (Intermediate),1857.0,Partly Furnished,Built-up ,4,Serviced Residence
Damansara Heights,1718556,1+1,2.0,2.0,Serviced Residence (Intermediate),1148.0,Partly Furnished,Built-up ,2,Serviced Residence
Ampang Hilir,4300000,4+1,6.0,2.0,Condominium (Corner),6682.0,Partly Furnished,Built-up ,5,Condominium
Klcc,5074700,3+1,5.0,2.0,Serviced Residence (Corner),3274.0,Partly Furnished,Built-up ,4,Serviced Residence
Bukit Tunku (Kenny Hills),1400000,3+1,4.0,1.0,Condominium,1991.0,Partly Furnished,Built-up ,4,Condominium
Ampang,585000,1,1.0,1.0,Serviced Residence (Intermediate),712.0,Fully Furnished,Built-up ,1,Serviced Residence
Mont Kiara,3500000,5+1,6.0,2.0,Semi-detached House,2863.0,Partly Furnished,Land area ,6,Semi-detached House
Sri Hartamas,3780000,4+1,6.0,3.0,Condominium,4146.0,Fully Furnished,Built-up ,5,Condominium
Mont Kiara,1880000,4+1,4.0,3.0,Condominium (Corner),2648.0,Fully Furnished,Built-up ,5,Condominium
Titiwangsa,2500000,4+2,5.0,2.0,Semi-detached House (Intermediate),3200.0,Partly Furnished,Land area ,6,Semi-detached House
Dutamas,1800000,4+1,3.0,3.0,Condominium (Corner),3500.0,Partly Furnished,Built-up ,5,Condominium
Mont Kiara,1720000,4+1,4.0,2.0,Condominium (Intermediate),2460.0,Partly Furnished,Built-up ,5,Condominium
Damansara Heights,5400000,4+1,4.0,4.0,Bungalow (Intermediate),7000.0,Fully Furnished,Land area ,5,Bungalow
Pantai,700000,3,2.0,1.0,Condominium (Corner),1323.0,Partly Furnished,Built-up ,3,Condominium
Seputeh,5800000,5+1,6.0,3.0,Bungalow (Intermediate),4687.0,Partly Furnished,Land area ,6,Bungalow
Bukit Bintang,2800000,2,4.0,1.0,Serviced Residence (Corner),1307.0,Fully Furnished,Built-up ,2,Serviced Residence
City Centre,1290000,3+1,4.0,1.0,Condominium (Corner),1830.0,Fully Furnished,Built-up ,4,Condominium
Mont Kiara,620000,1,1.0,1.0,Serviced Residence,462.0,Fully Furnished,Built-up ,1,Serviced Residence
Taman Tun Dr Ismail,2100000,4+1,3.0,2.0,Condominium (Corner),2600.0,Partly Furnished,Built-up ,5,Condominium
Wangsa Maju,499000,3+1,3.0,2.0,Condominium,1267.0,Fully Furnished,Built-up ,4,Condominium
Damansara Heights,1680000,1+1,2.0,2.0,Serviced Residence (Intermediate),1160.0,Fully Furnished,Built-up ,2,Serviced Residence
Klcc,5900000,3,2.0,2.0,Serviced Residence (Corner),2185.0,Fully Furnished,Built-up ,3,Serviced Residence
Bukit Jalil,590000,3,2.0,2.0,Condominium,1100.0,Partly Furnished,Built-up ,3,Condominium
Taman Melawati,2350000,5+1,7.0,4.0,Semi-detached House (Intermediate),4300.0,Unfurnished,Land area ,6,Semi-detached House
Kl Eco City,996250,1+1,1.0,1.0,Condominium,797.0,Partly Furnished,Built-up ,2,Condominium
Titiwangsa,790000,3,2.0,1.0,Serviced Residence,1033.0,Partly Furnished,Built-up ,3,Serviced Residence
Ampang,3100000,5+1,4.0,2.0,Bungalow,8500.0,Partly Furnished,Land area ,6,Bungalow
Mont Kiara,1460000,1+1,1.0,4.0,Condominium,1514.0,Partly Furnished,Built-up ,2,Condominium
Ampang,2650000,5+1,4.0,2.0,Bungalow,8500.0,Partly Furnished,Land area ,6,Bungalow
Oug,2380000,5,3.0,8.0,Semi-detached House (Intermediate),5000.0,Partly Furnished,Land area ,5,Semi-detached House
Oug,5900000,6+1,8.0,10.0,Bungalow (Corner),12722.0,Partly Furnished,Land area ,7,Bungalow
Jalan Klang Lama (Old Klang Road),1150000,5,2.0,2.0,2-sty Terrace/Link House (Intermediate),1600.0,Partly Furnished,Land area ,5,Terrace/Link House
Jalan Klang Lama (Old Klang Road),1800000,4+1,4.0,2.0,2.5-sty Terrace/Link House (Intermediate),1760.0,Partly Furnished,Land area ,5,Terrace/Link House
Sentul,550000,3,2.0,2.0,Condominium (EndLot),1230.0,Partly Furnished,Built-up ,3,Condominium
Ampang,3850000,3+1,3.0,2.0,Serviced Residence,2115.0,Fully Furnished,Built-up ,4,Serviced Residence
Ampang,3350000,3,2.0,2.0,Serviced Residence,1615.0,Fully Furnished,Built-up ,3,Serviced Residence
Taman Tun Dr Ismail,4900000,6,6.0,6.0,Bungalow (Corner),9100.0,Partly Furnished,Land area ,6,Bungalow
Klcc,1100000,2,2.0,1.0,Serviced Residence,915.0,Fully Furnished,Built-up ,2,Serviced Residence
Desa Parkcity,1200000,2+1,3.0,1.0,Condominium,1507.0,Fully Furnished,Built-up ,3,Condominium
Desa Parkcity,1800000,3+1,3.0,2.0,Condominium,2110.0,Fully Furnished,Built-up ,4,Condominium
Ampang Hilir,2670000,3+1,4.0,2.0,Condominium,2365.0,Partly Furnished,Built-up ,4,Condominium
Bukit Jalil,930000,4+1,3.0,2.0,Condominium,1513.0,Partly Furnished,Built-up ,5,Condominium
Mont Kiara,1330000,3,2.0,2.0,Condominium,1200.0,Unfurnished,Built-up ,3,Condominium
Bukit Jalil,1200000,5+1,4.0,4.0,Condominium,1930.0,Partly Furnished,Built-up ,6,Condominium
Klcc,1415700,1,1.0,1.0,Serviced Residence (Corner),850.0,Fully Furnished,Built-up ,1,Serviced Residence
Ampang,2299000,8+,5.0,6.0,Bungalow,9381.0,Partly Furnished,Land area ,8,Bungalow
Setapak,450000,3,2.0,1.0,Condominium (Intermediate),1232.0,Partly Furnished,Built-up ,3,Condominium
Cheras,990000,2,2.0,1.0,Serviced Residence (EndLot),953.0,Partly Furnished,Land area ,2,Serviced Residence
Jalan Klang Lama (Old Klang Road),425000,3,2.0,1.0,Condominium (Corner),1273.0,Partly Furnished,Land area ,3,Condominium
Cheras,880000,5,3.0,4.0,2-sty Terrace/Link House (Intermediate),22.0,Partly Furnished,Land area ,5,Terrace/Link House
Cheras,318000,3,2.0,1.0,Apartment (Intermediate),748.0,Fully Furnished,Built-up ,3,Apartment
Kuchai Lama,600000,3+1,2.0,4.0,Condominium (Intermediate),1313.0,Partly Furnished,Built-up ,4,Condominium
Kepong,600000,3,2.0,2.0,1-sty Terrace/Link House (Intermediate),1560.0,Unknown,Land area ,3,Terrace/Link House
Kepong,368000,2,2.0,1.0,2-sty Terrace/Link House (Intermediate),660.0,Unfurnished,Land area ,2,Terrace/Link House
Kepong,1050000,3,2.0,6.0,1-sty Terrace/Link House (Corner),4000.0,Unfurnished,Land area ,3,Terrace/Link House
Kepong,1150000,3,3.0,2.0,2-sty Terrace/Link House (Intermediate),1650.0,Fully Furnished,Land area ,3,Terrace/Link House
Setapak,300000,3,2.0,1.0,Condominium,800.0,Unfurnished,Built-up ,3,Condominium
Mont Kiara,1230000,2+1,2.0,1.0,Serviced Residence (Corner),1041.0,Partly Furnished,Built-up ,3,Serviced Residence
Bukit Jalil,690000,3+1,2.0,2.0,Condominium,1415.0,Partly Furnished,Built-up ,4,Condominium
Bukit Jalil,588000,2,2.0,2.0,Condominium,1050.0,Partly Furnished,Built-up ,2,Condominium
Bukit Jalil,1190000,3+1,3.0,2.0,Serviced Residence,1521.0,Partly Furnished,Built-up ,4,Serviced Residence
Bukit Jalil,950000,3,2.0,2.0,Serviced Residence,1170.0,Partly Furnished,Built-up ,3,Serviced Residence
Bukit Jalil,830000,3,3.0,2.0,Condominium,1293.0,Fully Furnished,Built-up ,3,Condominium
Bukit Jalil,720000,3,2.0,3.0,Condominium,1335.0,Fully Furnished,Built-up ,3,Condominium
Bukit Jalil,700000,3+1,3.0,2.0,Condominium (Corner),1457.0,Partly Furnished,Built-up ,4,Condominium
Damansara Heights,1950000,2+1,2.0,2.0,Serviced Residence (Intermediate),1748.0,Fully Furnished,Built-up ,3,Serviced Residence
Bandar Menjalara,950000,3+1,3.0,2.0,Condominium (Corner),1635.0,Fully Furnished,Built-up ,4,Condominium
Wangsa Maju,880000,3+1,3.0,2.0,Condominium (Corner),1518.0,Partly Furnished,Built-up ,4,Condominium
Wangsa Maju,1900000,3+1,4.0,2.0,Condominium,2711.0,Partly Furnished,Built-up ,4,Condominium
Kepong,850000,4,3.0,3.0,2-sty Terrace/Link House (Intermediate),1760.0,Partly Furnished,Land area ,4,Terrace/Link House
Mont Kiara,1430000,3,3.0,2.0,Condominium (Intermediate),1593.0,Fully Furnished,Built-up ,3,Condominium
Wangsa Maju,415000,2,2.0,2.0,Serviced Residence,830.0,Partly Furnished,Built-up ,2,Serviced Residence
Wangsa Maju,335000,1+1,1.0,1.0,Serviced Residence,670.0,Partly Furnished,Built-up ,2,Serviced Residence
Wangsa Maju,445000,3+1,2.0,2.0,Serviced Residence,890.0,Partly Furnished,Built-up ,4,Serviced Residence
Wangsa Maju,550000,4,3.0,2.0,Serviced Residence,1100.0,Partly Furnished,Built-up ,4,Serviced Residence
Wangsa Maju,475000,4,2.0,2.0,Serviced Residence,950.0,Partly Furnished,Built-up ,4,Serviced Residence
Wangsa Maju,450000,3,2.0,2.0,Serviced Residence,905.0,Partly Furnished,Built-up ,3,Serviced Residence
Mont Kiara,1600000,3+1,4.0,2.0,Condominium,2038.0,Partly Furnished,Built-up ,4,Condominium
Segambut,690000,3,3.0,2.0,Condominium (Corner),1262.0,Partly Furnished,Built-up ,3,Condominium
Dutamas,850000,3,2.0,1.0,Condominium (Intermediate),1253.0,Fully Furnished,Built-up ,3,Condominium
Cheras,385000,3,2.0,1.0,2-sty Terrace/Link House (Intermediate),900.0,Partly Furnished,Land area ,3,Terrace/Link House
Jalan Klang Lama (Old Klang Road),410000,3,2.0,1.0,Serviced Residence (Intermediate),950.0,Fully Furnished,Built-up ,3,Serviced Residence
Mont Kiara,1900000,3+1,6.0,3.0,Condominium,2535.0,Fully Furnished,Built-up ,4,Condominium
Ampang,730000,1,1.0,1.0,Serviced Residence,830.0,Partly Furnished,Built-up ,1,Serviced Residence
Dutamas,580000,3,2.0,2.0,Condominium (Intermediate),1098.0,Partly Furnished,Built-up ,3,Condominium
Mont Kiara,2720000,3+1,4.0,3.0,Serviced Residence (Intermediate),2305.0,Partly Furnished,Built-up ,4,Serviced Residence
Bukit Bintang,1080000,2,2.0,1.0,Serviced Residence (Intermediate),947.0,Fully Furnished,Built-up ,2,Serviced Residence
Bukit Bintang,925000,1,1.0,1.0,Serviced Residence (Intermediate),829.0,Fully Furnished,Built-up ,1,Serviced Residence
Klcc,1300000,2,1.0,1.0,Serviced Residence (Corner),890.0,Fully Furnished,Built-up ,2,Serviced Residence
Bukit Bintang,915000,1,1.0,1.0,Serviced Residence (Intermediate),818.0,Fully Furnished,Built-up ,1,Serviced Residence
Bukit Jalil,580000,3+1,2.0,2.0,Condominium,1441.0,Fully Furnished,Built-up ,4,Condominium
Bangsar,1100000,2+1,2.0,1.0,Condominium,1112.0,Fully Furnished,Built-up ,3,Condominium
Dutamas,1890000,5+1,7.0,5.0,3-sty Terrace/Link House (Intermediate),2232.0,Unfurnished,Land area ,6,Terrace/Link House
Kepong,1000000,5,3.0,2.0,2-sty Terrace/Link House (Intermediate),1650.0,Partly Furnished,Land area ,5,Terrace/Link House
Bangsar,8800000,4+1,5.0,3.0,Condominium,5137.0,Partly Furnished,Built-up ,5,Condominium
Cheras,480000,4,2.0,1.0,Condominium (Intermediate),1142.0,Partly Furnished,Built-up ,4,Condominium
Bukit Jalil,430000,3,2.0,1.0,Condominium (Intermediate),1231.0,Partly Furnished,Land area ,3,Condominium
Setapak,480000,3,2.0,2.0,Serviced Residence,1009.0,Fully Furnished,Built-up ,3,Serviced Residence
Mont Kiara,840000,2+1,3.0,2.0,Serviced Residence (Intermediate),1300.0,Fully Furnished,Built-up ,3,Serviced Residence
Mont Kiara,1980000,4+1,4.0,2.0,Condominium (Corner),1800.0,Partly Furnished,Built-up ,5,Condominium
Kepong,495000,3+1,3.0,2.0,Condominium,1050.0,Partly Furnished,Built-up ,4,Condominium
Kepong,495000,3+1,3.0,2.0,Condominium,1050.0,Partly Furnished,Built-up ,4,Condominium
Kepong,505000,3+2,3.0,3.0,Condominium,1050.0,Partly Furnished,Built-up ,5,Condominium
Sri Hartamas,4380000,4+2,5.0,3.0,3.5-sty Terrace/Link House (Corner),2700.0,Fully Furnished,Land area ,6,Terrace/Link House
Sri Hartamas,3900000,4+2,5.0,3.0,3-sty Terrace/Link House (Corner),2700.0,Fully Furnished,Land area ,6,Terrace/Link House
Mont Kiara,6900000,6+1,7.0,3.0,Bungalow (Corner),6500.0,Fully Furnished,Land area ,7,Bungalow
Mont Kiara,7300000,6+1,7.0,5.0,Bungalow (Corner),8750.0,Partly Furnished,Land area ,7,Bungalow
Mont Kiara,6900000,6+1,7.0,5.0,Bungalow (Corner),9120.0,Partly Furnished,Land area ,7,Bungalow
Bangsar,8159000,4+1,6.0,3.0,Condominium (Intermediate),4945.0,Partly Furnished,Built-up ,5,Condominium
Cheras,1250000,3,3.0,2.0,2-sty Terrace/Link House,22.0,Partly Furnished,Land area ,3,Terrace/Link House
Titiwangsa,660000,3,2.0,1.0,Serviced Residence (Corner),1100.0,Fully Furnished,Built-up ,3,Serviced Residence
Sri Petaling,450000,3,2.0,1.0,Condominium (Corner),1129.0,Partly Furnished,Built-up ,3,Condominium
Mont Kiara,5000000,5+1,5.0,4.0,Condominium (Corner),6288.0,Partly Furnished,Built-up ,6,Condominium
Keramat,680000,3+1,4.0,2.0,2-sty Terrace/Link House,1800.0,Unfurnished,Built-up ,4,Terrace/Link House
Mont Kiara,1550000,3,3.0,2.0,Condominium (Corner),1878.0,Unfurnished,Built-up ,3,Condominium
Sungai Besi,600000,3,2.0,2.0,Condominium,1106.0,Partly Furnished,Built-up ,3,Condominium
Mont Kiara,1350000,3,2.0,2.0,Condominium,1200.0,Partly Furnished,Built-up ,3,Condominium
Bandar Menjalara,640000,3+1,2.0,2.0,Condominium,1316.0,Unfurnished,Built-up ,4,Condominium
Klcc,1150000,2,2.0,1.0,Condominium (Intermediate),1065.0,Fully Furnished,Built-up ,2,Condominium
Kl City,980000,1,1.0,1.0,Serviced Residence,743.0,Fully Furnished,Built-up ,1,Serviced Residence
Taman Desa,588000,2,2.0,1.0,Condominium,928.0,Partly Furnished,Built-up ,2,Condominium
Kl Sentral,5600000,2+2,3.0,2.0,Serviced Residence,2409.0,Partly Furnished,Built-up ,4,Serviced Residence
City Centre,820000,1,1.0,1.0,Serviced Residence,677.0,Fully Furnished,Built-up ,1,Serviced Residence
Mont Kiara,4500000,5,5.0,3.0,3-sty Terrace/Link House (Corner),4000.0,Partly Furnished,Land area ,5,Terrace/Link House
Taman Tun Dr Ismail,3200000,3,2.0,2.0,1-sty Terrace/Link House (Corner),5735.0,Partly Furnished,Land area ,3,Terrace/Link House
Ampang,1288000,4+1,4.0,1.0,Condominium,3246.0,Fully Furnished,Built-up ,5,Condominium
Sungai Besi,680000,2+1,2.0,2.0,Serviced Residence (Intermediate),1025.0,Fully Furnished,Built-up ,3,Serviced Residence
Bandar Menjalara,795000,3,2.0,2.0,Condominium (Corner),1440.0,Unfurnished,Built-up ,3,Condominium
Bandar Menjalara,700000,3,2.0,2.0,Condominium (Corner),1260.0,Fully Furnished,Built-up ,3,Condominium
Jalan Klang Lama (Old Klang Road),718000,3+1,2.0,2.0,Condominium,935.0,Partly Furnished,Built-up ,4,Condominium
Jalan Klang Lama (Old Klang Road),720000,3+1,2.0,2.0,Condominium,935.0,Partly Furnished,Built-up ,4,Condominium
Sentul,1000000,3+1,4.0,2.0,Condominium,1400.0,Partly Furnished,Built-up ,4,Condominium
Sentul,1000000,3,3.0,1.0,Condominium,1186.0,Partly Furnished,Built-up ,3,Condominium
Sentul,1100000,3+1,4.0,2.0,Condominium,1488.0,Partly Furnished,Built-up ,4,Condominium
Sentul,1250000,3+1,4.0,2.0,Condominium,1450.0,Partly Furnished,Built-up ,4,Condominium
Sungai Besi,1800000,5,4.0,2.0,3-sty Terrace/Link House (Corner),4000.0,Unfurnished,Land area ,5,Terrace/Link House
Sungai Besi,1000000,5,4.0,2.0,3-sty Terrace/Link House (Intermediate),1600.0,Unfurnished,Land area ,5,Terrace/Link House
Sungai Besi,1200000,4+1,4.0,2.0,3-sty Terrace/Link House (Intermediate),1500.0,Fully Furnished,Land area ,5,Terrace/Link House
Cheras,730000,4,4.0,2.0,2-sty Terrace/Link House (Intermediate),1600.0,Unfurnished,Land area ,4,Terrace/Link House
Sungai Besi,1380000,5,6.0,2.0,3-sty Terrace/Link House (Intermediate),1760.0,Unfurnished,Land area ,5,Terrace/Link House
Sungai Besi,1700000,4+1,6.0,3.0,3-sty Terrace/Link House (Intermediate),3015.0,Unfurnished,Land area ,5,Terrace/Link House
Sungai Besi,2500000,5,4.0,2.0,3-sty Terrace/Link House (Corner),3500.0,Fully Furnished,Land area ,5,Terrace/Link House
Sungai Besi,1700000,4+1,4.0,2.0,3-sty Terrace/Link House (EndLot),2720.0,Unfurnished,Land area ,5,Terrace/Link House
Taman Desa,600000,3,2.0,1.0,Serviced Residence (Intermediate),935.0,Unfurnished,Built-up ,3,Serviced Residence
Taman Desa,499000,2,2.0,1.0,Serviced Residence (Intermediate),715.0,Unfurnished,Built-up ,2,Serviced Residence
Mont Kiara,2766000,3+2,4.0,3.0,Serviced Residence,2305.0,Partly Furnished,Built-up ,5,Serviced Residence
Bukit Jalil,270000,1,1.0,1.0,Condominium,791.0,Unfurnished,Built-up ,1,Condominium
Bukit Jalil,640000,4,2.0,2.0,Apartment,1584.0,Partly Furnished,Built-up ,4,Apartment
Taman Desa,1780000,6+1,3.0,2.0,2.5-sty Terrace/Link House,1798.0,Fully Furnished,Land area ,7,Terrace/Link House
Jalan Klang Lama (Old Klang Road),530000,2,2.0,1.0,Serviced Residence (Intermediate),645.0,Fully Furnished,Built-up ,2,Serviced Residence
Mont Kiara,2350000,4+1,6.0,3.0,Condominium (Corner),2906.0,Fully Furnished,Built-up ,5,Condominium
Ampang,728000,2,2.0,3.0,Serviced Residence (Intermediate),977.0,Partly Furnished,Built-up ,2,Serviced Residence
Klcc,3900000,3,3.0,2.0,Serviced Residence,1786.0,Partly Furnished,Built-up ,3,Serviced Residence
Klcc,2900000,2,2.0,1.0,Serviced Residence,1195.0,Fully Furnished,Built-up ,2,Serviced Residence
Mont Kiara,1460000,2,2.0,1.0,Serviced Residence,1817.0,Partly Furnished,Built-up ,2,Serviced Residence
Seputeh,2500000,4,5.0,2.0,Condominium (Penthouse),2900.0,Fully Furnished,Built-up ,4,Condominium
Sri Petaling,615000,3,3.0,2.0,Serviced Residence,1279.0,Fully Furnished,Built-up ,3,Serviced Residence
Sri Petaling,610000,3,3.0,2.0,Serviced Residence,1279.0,Fully Furnished,Built-up ,3,Serviced Residence
Sentul,830000,4+2,3.0,2.0,Condominium,2379.0,Partly Furnished,Built-up ,6,Condominium
Cheras,1188000,4,3.0,4.0,2-sty Terrace/Link House (Corner),3400.0,Unfurnished,Land area ,4,Terrace/Link House
Kuchai Lama,1600000,4,4.0,3.0,2-sty Terrace/Link House (EndLot),3200.0,Partly Furnished,Land area ,4,Terrace/Link House
Jalan Klang Lama (Old Klang Road),1180000,3+1,4.0,3.0,Condominium (Corner),1782.0,Partly Furnished,Built-up ,4,Condominium
Cheras,800000,3,3.0,2.0,Townhouse (Intermediate),1786.0,Partly Furnished,Built-up ,3,Townhouse
Cheras,620000,5,3.0,3.0,2-sty Terrace/Link House (Intermediate),1650.0,Unfurnished,Land area ,5,Terrace/Link House
Sentul,359000,1,1.0,1.0,Condominium (EndLot),581.0,Partly Furnished,Built-up ,1,Condominium
Dutamas,860000,3,3.0,2.0,Serviced Residence (Intermediate),1300.0,Partly Furnished,Built-up ,3,Serviced Residence
Bukit Bintang,1400000,3,3.0,2.0,Serviced Residence,1555.0,Partly Furnished,Built-up ,3,Serviced Residence
Jalan Klang Lama (Old Klang Road),538000,4,2.0,2.0,Condominium (Corner),1341.0,Partly Furnished,Built-up ,4,Condominium
Jalan Klang Lama (Old Klang Road),528000,4,2.0,2.0,Condominium (Corner),1341.0,Partly Furnished,Built-up ,4,Condominium
Jalan Klang Lama (Old Klang Road),510000,4,2.0,2.0,Condominium (Corner),1341.0,Partly Furnished,Built-up ,4,Condominium
Kuchai Lama,270000,3,1.0,1.0,Apartment (EndLot),710.0,Partly Furnished,Built-up ,3,Apartment
Jalan Klang Lama (Old Klang Road),370000,3,2.0,1.0,Apartment (Corner),956.0,Partly Furnished,Built-up ,3,Apartment
Sungai Besi,620000,3,2.0,2.0,Condominium (Corner),1200.0,Fully Furnished,Built-up ,3,Condominium
Taman Desa,3788000,5,5.0,5.0,Bungalow (Intermediate),5000.0,Partly Furnished,Built-up ,5,Bungalow
Mont Kiara,1050000,2,2.0,2.0,Serviced Residence,1166.0,Unfurnished,Built-up ,2,Serviced Residence
Mont Kiara,751000,1,1.0,1.0,Serviced Residence,853.0,Unfurnished,Built-up ,1,Serviced Residence
Mont Kiara,635000,1,1.0,1.0,Serviced Residence,716.0,Unfurnished,Built-up ,1,Serviced Residence
Mont Kiara,1890000,3+1,4.0,3.0,Condominium (Corner),2648.0,Fully Furnished,Built-up ,4,Condominium
Kl City,7990000,6,3.0,4.0,Residential Land,8277.0,Unfurnished,Land area ,6,Residential Land
Kuchai Lama,480000,2,2.0,2.0,Condominium (Intermediate),936.0,Partly Furnished,Built-up ,2,Condominium
Batu Caves,710000,4,3.0,2.0,2-sty Terrace/Link House (Corner),1454.0,Partly Furnished,Land area ,4,Terrace/Link House
Jalan Klang Lama (Old Klang Road),580000,4,3.0,1.0,Condominium,1385.0,Fully Furnished,Built-up ,4,Condominium
Cheras,490000,3,2.0,2.0,Condominium,1042.0,Partly Furnished,Built-up ,3,Condominium
Ampang,2700000,5+1,5.0,4.0,Bungalow (Corner),8400.0,Partly Furnished,Land area ,6,Bungalow
Cheras,380000,3,2.0,1.0,Condominium (Intermediate),832.0,Partly Furnished,Built-up ,3,Condominium
Kepong,1950000,7+,6.0,7.0,Semi-detached House,4000.0,Partly Furnished,Built-up ,7,Semi-detached House
Sungai Penchala,849000,4+1,3.0,2.0,2.5-sty Terrace/Link House,1851.0,Partly Furnished,Land area ,5,Terrace/Link House
Desa Pandan,780000,2,2.0,2.0,Serviced Residence (Intermediate),1087.0,Fully Furnished,Built-up ,2,Serviced Residence
Desa Pandan,1200000,2,2.0,2.0,Serviced Residence (Intermediate),1410.0,Fully Furnished,Built-up ,2,Serviced Residence
Desa Pandan,1250000,3,2.0,2.0,Serviced Residence (Intermediate),1427.0,Fully Furnished,Built-up ,3,Serviced Residence
Taman Tun Dr Ismail,1550000,4+1,4.0,2.0,Condominium (Corner),2615.0,Partly Furnished,Land area ,5,Condominium
Kl City,850000,Studio,1.0,1.0,Serviced Residence,657.0,Fully Furnished,Built-up ,1,Serviced Residence
Setapak,870000,4,3.0,2.0,2-sty Terrace/Link House (Corner),1600.0,Partly Furnished,Land area ,4,Terrace/Link House
Kl City,485000,3,2.0,1.0,Condominium (Intermediate),1063.0,Fully Furnished,Built-up ,3,Condominium
Setapak,430000,4,2.0,1.0,Condominium (Intermediate),1135.0,Partly Furnished,Built-up ,4,Condominium
Setapak,378000,3,2.0,1.0,Condominium,1231.0,Unfurnished,Built-up ,3,Condominium
Jalan Klang Lama (Old Klang Road),550000,4,3.0,1.0,Condominium (Intermediate),1385.0,Partly Furnished,Built-up ,4,Condominium
Taman Desa,1630000,3,4.0,2.0,Condominium,1784.0,Partly Furnished,Built-up ,3,Condominium
Ampang,655000,Studio,1.0,1.0,Serviced Residence,691.0,Partly Furnished,Built-up ,1,Serviced Residence
